BiomarkerID,BiomarkerName,UniProtAccession,UniProtGene,ProteinName,MatchMethod
BM00002,14-3-3 theta,P27348,YWHAQ,14-3-3 protein theta,gene_symbol
BM00014,A1BG,P04217,A1BG,Alpha-1B-glycoprotein,gene_symbol
BM00015,A2M,P01023,A2M,Alpha-2-macroglobulin,gene_symbol
BM00016,ABCA2,Q9BZC7,ABCA2,ATP-binding cassette sub-family A member 2,gene_symbol
BM00017,ACBP,P07108,DBI,Acyl-CoA-binding protein,gene_symbol
BM00018,ACKR3,P25106,ACKR3,Atypical chemokine receptor 3,gene_symbol
BM00019,ACO1,P21399,ACO1,Cytoplasmic aconitate hydratase,gene_symbol
BM00020,ACP3,P15309,ACP3,Prostatic acid phosphatase,gene_symbol
BM00021,ACSL3,O95573,ACSL3,Fatty acid CoA ligase Acsl3,gene_symbol
BM00022,ACTC1,P68032,ACTC1,"Actin, alpha cardiac muscle 1",gene_symbol
BM00023,ACTN4,O43707,ACTN4,Alpha-actinin-4,gene_symbol
BM00024,ACTR3,P61158,ACTR3,Actin-related protein 3,gene_symbol
BM00025,ACY1,Q03154,ACY1,Aminoacylase-1,gene_symbol
BM00026,ADAM12,O43184,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,gene_symbol
BM00027,ADH5,P11766,ADH5,Alcohol dehydrogenase class-3,gene_symbol
BM00028,ADIPOQ,Q15848,ADIPOQ,Adiponectin,gene_symbol
BM00029,AFP,P02771,AFP,Alpha-fetoprotein,gene_symbol
BM00032,AGR2,O95994,AGR2,Anterior gradient protein 2 homolog,gene_symbol
BM00033,AGRN,O00468,AGRN,Agrin,gene_symbol
BM00034,AGT,P01019,AGT,Angiotensinogen,gene_symbol
BM00035,AGTPBP1,Q9UPW5,AGTPBP1,Cytosolic carboxypeptidase 1,gene_symbol
BM00036,AHNAK2,Q8IVF2,AHNAK2,Protein AHNAK2,gene_symbol
BM00037,AKAP12,Q02952,AKAP12,A-kinase anchor protein 12,gene_symbol
BM00038,AKR1B1,P15121,AKR1B1,Aldo-keto reductase family 1 member B1,gene_symbol
BM00039,AKR1B10,O60218,AKR1B10,Aldo-keto reductase family 1 member B10,gene_symbol
BM00040,AKR1C2,P52895,AKR1C2,Aldo-keto reductase family 1 member C2,gene_symbol
BM00041,AKT1,P31749,AKT1,RAC-alpha serine/threonine-protein kinase,gene_symbol
BM00042,ALCAM,Q13740,ALCAM,CD166 antigen,gene_symbol
BM00043,ALDH16A1,Q8IZ83,ALDH16A1,Aldehyde dehydrogenase family 16 member A1,gene_symbol
BM00044,ALDH1A1,P00352,ALDH1A1,Aldehyde dehydrogenase 1A1,gene_symbol
BM00045,ALDH1A2,O94788,ALDH1A2,Retinal dehydrogenase 2,gene_symbol
BM00046,ALDH3A1,P30838,ALDH3A1,"Aldehyde dehydrogenase, dimeric NADP-preferring",gene_symbol
BM00047,ALDOC,P09972,ALDOC,Fructose-bisphosphate aldolase C,gene_symbol
BM00048,ALG10,Q5BKT4,ALG10,"Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase A",gene_symbol
BM00049,ALPL,P05186,ALPL,"Alkaline phosphatase, tissue-nonspecific isozyme",gene_symbol
BM00050,AMACR,Q9UHK6,AMACR,Alpha-methylacyl-CoA racemase,gene_symbol
BM00051,AMBP,P02760,AMBP,Protein AMBP,gene_symbol
BM00052,AMD1,P17707,AMD1,S-adenosylmethionine decarboxylase proenzyme,gene_symbol
BM00053,AMFR,Q9UKV5,AMFR,E3 ubiquitin-protein ligase AMFR,gene_symbol
BM00055,AMY2A,P04746,AMY2A,Pancreatic alpha-amylase,gene_symbol
BM00057,ANG,P03950,ANG,Angiogenin,gene_symbol
BM00059,ANGPTL3,Q9Y5C1,ANGPTL3,Angiopoietin-related protein 3,gene_symbol
BM00060,ANGPTL4,Q9BY76,ANGPTL4,Angiopoietin-related protein 4,gene_symbol
BM00061,ANKRD40,Q6AI12,ANKRD40,Ankyrin repeat domain-containing protein 40,gene_symbol
BM00063,ANO1,Q5XXA6,ANO1,Anoctamin-1,gene_symbol
BM00064,ANXA1,P04083,ANXA1,Annexin A1,gene_symbol
BM00065,ANXA2,P07355,ANXA2,Annexin A2,gene_symbol
BM00066,ANXA3,P12429,ANXA3,Annexin A3,gene_symbol
BM00067,AP1B1,Q10567,AP1B1,AP-1 complex subunit beta-1,gene_symbol
BM00068,AP1S2,P56377,AP1S2,AP-1 complex subunit sigma-2,gene_symbol
BM00069,AP3B2,Q13367,AP3B2,AP-3 complex subunit beta-2,gene_symbol
BM00070,APAF1,O14727,APAF1,Apoptotic protease-activating factor 1,gene_symbol
BM00071,APC,P25054,APC,Adenomatous polyposis coli protein,gene_symbol
BM00072,APCS,P02743,APCS,Serum amyloid P-component,gene_symbol
BM00073,APEX1,P27695,APEX1,DNA repair nuclease/redox regulator APEX1,gene_symbol
BM00074,APOA1,P02647,APOA1,Apolipoprotein A-I,gene_symbol
BM00075,APOA2,P02652,APOA2,Apolipoprotein A-II,gene_symbol
BM00077,APOB,P04114,APOB,Apolipoprotein B-100,gene_symbol
BM00078,APOC1,P02654,APOC1,Apolipoprotein C-I,gene_symbol
BM00079,APOC3,P02656,APOC3,Apolipoprotein C-III,gene_symbol
BM00080,APOC4,P55056,APOC4,Apolipoprotein C-IV,gene_symbol
BM00081,APOE,P02649,APOE,Apolipoprotein E,gene_symbol
BM00082,APOH,P02749,APOH,Beta-2-glycoprotein 1,gene_symbol
BM00083,APOLD1,Q96LR9,APOLD1,Apolipoprotein L domain-containing protein 1,gene_symbol
BM00084,AREG,P15514,AREG,Amphiregulin,gene_symbol
BM00085,ARFIP2,P53365,ARFIP2,Arfaptin-2,gene_symbol
BM00086,ARHGDIA,P52565,ARHGDIA,Rho GDP-dissociation inhibitor 1,gene_symbol
BM00087,ARHGEF16,Q5VV41,ARHGEF16,Rho guanine nucleotide exchange factor 16,gene_symbol
BM00088,ARHGEF40,Q8TER5,ARHGEF40,Rho guanine nucleotide exchange factor 40,gene_symbol
BM00089,ARID1A,O14497,ARID1A,AT-rich interactive domain-containing protein 1A,gene_symbol
BM00090,ARID5A,Q03989,ARID5A,AT-rich interactive domain-containing protein 5A,gene_symbol
BM00093,ATF3,P18847,ATF3,Cyclic AMP-dependent transcription factor ATF-3,gene_symbol
BM00094,ATP6AP1,Q15904,ATP6AP1,V-type proton ATPase subunit S1,gene_symbol
BM00095,ATP6AP2,O75787,ATP6AP2,Renin receptor,gene_symbol
BM00096,ATP6V1G1,O75348,ATP6V1G1,V-type proton ATPase subunit G 1,gene_symbol
BM00098,AUH,Q13825,AUH,"Methylglutaconyl-CoA hydratase, mitochondrial",gene_symbol
BM00099,AZGP1,P25311,AZGP1,Zinc-alpha-2-glycoprotein,gene_symbol
BM00101,B2M,P61769,B2M,Beta-2-microglobulin,gene_symbol
BM00102,B3GNT6,O43505,B4GAT1,"Beta-1,4-glucuronyltransferase 1",gene_symbol
BM00105,BANK1,Q8NDB2,BANK1,B-cell scaffold protein with ankyrin repeats,gene_symbol
BM00106,BCAM,P50895,BCAM,Basal cell adhesion molecule,gene_symbol
BM00107,BCAT1,P54687,BCAT1,"Branched-chain-amino-acid aminotransferase, cytosolic",gene_symbol
BM00108,BCHE,P06276,BCHE,Cholinesterase,gene_symbol
BM00109,BCL2L14,Q9BZR8,BCL2L14,Apoptosis facilitator Bcl-2-like protein 14,gene_symbol
BM00110,BCL2L2,Q92843,BCL2L2,Bcl-2-like protein 2,gene_symbol
BM00111,BDNF,P23560,BDNF,Neurotrophic factor BDNF precursor form,gene_symbol
BM00112,BGLAP,P02818,BGLAP,Osteocalcin,gene_symbol
BM00114,BHMT2,Q9H2M3,BHMT2,S-methylmethionine--homocysteine S-methyltransferase BHMT2,gene_symbol
BM00116,BIN1,O00499,BIN1,Myc box-dependent-interacting protein 1,gene_symbol
BM00118,BLVRB,P30043,BLVRB,Flavin reductase (NADPH),gene_symbol
BM00119,BMP1,P13497,BMP1,Bone morphogenetic protein 1,gene_symbol
BM00120,BMX,P51813,BMX,Cytoplasmic tyrosine-protein kinase BMX,gene_symbol
BM00123,BPIFA1,Q9NP55,BPIFA1,BPI fold-containing family A member 1,gene_symbol
BM00125,BRAF,P15056,BRAF,Serine/threonine-protein kinase B-raf,gene_symbol
BM00126,BRCA1,P38398,BRCA1,Breast cancer type 1 susceptibility protein,gene_symbol
BM00127,BRCA2,P51587,BRCA2,Breast cancer type 2 susceptibility protein,gene_symbol
BM00131,BTK,Q06187,BTK,Tyrosine-protein kinase BTK,gene_symbol
BM00132,BTN2A1,Q7KYR7,BTN2A1,Butyrophilin subfamily 2 member A1,gene_symbol
BM00133,BVES,Q8NE79,POPDC1,Popeye domain-containing protein 1,gene_symbol
