BiomarkerID,Name,Type,Organ,Phase,Description,Assay,GeneSymbol,ExternalID,AlphaFoldID
BM00001,14 SNPs,genomic,Prostate,2,,,,http://edrn.jpl.nasa.gov/bmdb/biomarkers/view/1445,
BM00002,14-3-3 theta,proteomic,Lung,2,"YWHAQ, also known as 14-3-3 theta, belongs to the 14-3-3 family of proteins which mediate signal transduction by binding to phosphoserine-containing proteins. This highly conserved protein family is found in both plants and mammals, and this protein is 99% identical to the mouse and rat orthologs. The 14-3-3 proteins have a wide range of ligands, are involved in a variety of biological pathways, and are known to be overexpressed in some human lung cancers, suggesting that they may play a role in tumorigenesis. 14-3-3 theta is an adapter protein implicated in the regulation of a large spectrum of both general and specialized signaling pathway. It binds to a large number of partners, usually by recognition of a phosphoserine or phosphothreonine motif. Binding generally results in the modulation of the activity of the binding partner.  14-3-3 theta antigens have been found to be targets of autoantibodies in subjects newly diagnosed with lung cancer.",,YWHAQ,http://edrn.jpl.nasa.gov/bmdb/biomarkers/view/34,P27348
BM00003,21 of 81 candidates,proteomic,Lung,3,,,,http://edrn.jpl.nasa.gov/bmdb/biomarkers/view/1475,
BM00004,3 marker panel for early-stage pancreatic ductal adenocarcinoma (PDAC),proteomic,Pancreas,2,A biomarker panel for early-stage PDAC (pancreatic ductal adenocarcinoma) detection.,,,http://edrn.jpl.nasa.gov/bmdb/biomarkers/view/1468,
BM00005,4DELF,proteomic,Colon,2,"Identification of preneoplastic changes in histologically normal epithelium (the ""field effect"") could provide a powerful screening tool for colorectal cancer. A new generation of optical technology, 4-dimensional elastic light-scattering fingerprinting (4D-ELF), enables probing of the nanoscale/microscale architecture of living cells.  Initial studies show that probing the nanoscale cellular architecture with 4D-ELF detect the earliest stages of colon carcinogenesis in the rat model of colon carcinogenesis. Future studies are necessary to explore the clinical applicability of this technology and elucidate the biological determinants of these microarchitectural changes.",,4DELF,http://edrn.jpl.nasa.gov/bmdb/biomarkers/view/100,
BM00006,4k score,proteomic,Prostate,3,,,4K-SCORE,http://edrn.jpl.nasa.gov/bmdb/biomarkers/view/1313,
BM00007,5p15,genomic,Lung,1,Locus 5p15 has been identified as a region of lung cancer susceptibility through genome-wide association studies.,,,http://edrn.jpl.nasa.gov/bmdb/biomarkers/view/399,
BM00008,60 of 81 candidates,proteomic,Lung,3,,,,http://edrn.jpl.nasa.gov/bmdb/biomarkers/view/1476,
BM00009,7p12 (EGFR),genomic,Lung,1,Chromosome region 7p12 contains the EGFR gene.  Copy number gains in this chromosome region have been implicated in lung cancer.,,,http://edrn.jpl.nasa.gov/bmdb/biomarkers/view/400,
BM00010,8 Gene Panel for Barretts Esophagus,genomic,Esophagus,2,"Eight methylation biomarkers - p16, RUNX3, HPP1 (HGNC name TMEFF2), NELL1, TAC1, SST, AKAP12 and CDH13 - were tested in a restrospective multicenter double-blinded validation study for their accuracy in predicting neoplastic progression in Barretts Esophagus. Hypermethylation of p16, RUNX3 and HPP1 has been show to occur in early Barretts Esophagus-related neoplastic progression and predicts progression risk. Several of the panel (NELL1, TAC1, SST, AKAP12 and CDH13) were also shown to be methylated early and often in Barretts Esophagus-related neoplastic progression.",,,http://edrn.jpl.nasa.gov/bmdb/biomarkers/view/53,
BM00011,80 Gene Panel for Lung Cancer,genomic,Lung,2,"This 80-gene biomarker panel is used to distinguish smokers with lung cancer from smokers without lung cancer.  The biomarker panel had approximately 90% sensitivity for stage 1 cancer across all subjects.  Adding cytopathology data gives 95% sensitivity and 95% negative predictive value.  (7 of the 80 biomarker probesets had no annotated gene symbol associated with them.)

List of genes in the panel:
DMD, NELL2, FGF14, TMEM47, ANXA3, PLA2G4A, DNAJC12, SLC39A8, DEFB1, PPBP, C6, FCGR3A, IL8, SERPINA1, CXCL2, RGS1, DUSP6, TOB1, FOS, SOX9, CD55, CD55, SLC4A4, CD164, ATP6AP2, ARL6IP5, CCT2, UBXD2, RAB1A, TRAM1, TMED2, YWHAE, C1orf80, TPD52, ACTR2, CPNE3, PTK9, UBE2J1, FXR1, SPN, PPP2CA, AD7C-NTP, STARD7, KIAA0738, RPL35A, GTF2H3, ZNF611, LOC152719, PRR11, ZC3H7B, ZNF354A, UBE2D2, ZNF160, FBXW12, ALMS1, ATP8B1, BACH2, TSR1, HDGF2, FLJ14346, LOC653471, DCLRE1C, DUOX1, LOC153561, DKFZP434A0131, GLT28D1, SENP6, FTO, LMO4, CCDC81, COX5B, FTL, NUCKS1",,,http://edrn.jpl.nasa.gov/bmdb/biomarkers/view/548,
BM00012,8q24 (C-MYC),genomic,Lung,1,"Chromosome region 8q24 contains the gene for MYC, also known as C-MYC.
MYC is a multifunctional, nuclear phosphoprotein that plays a role in cell cycle progression, apoptosis and cellular transformation.  The 8q24 region may contain a locus that influences general cancer susceptibility.",,,http://edrn.jpl.nasa.gov/bmdb/biomarkers/view/401,
BM00013,9 microsatellites,proteomic,Ovary,2,,,,http://edrn.jpl.nasa.gov/bmdb/biomarkers/view/1436,
BM00014,A1BG,proteomic,Breast,1,"From NCBI Gene: The protein encoded by this gene is a plasma glycoprotein of unknown function. The protein shows sequence similarity to the variable regions of some immunoglobulin supergene family member proteins. [provided by RefSeq, Jul 2008]",,A1BG,http://edrn.jpl.nasa.gov/bmdb/biomarkers/view/1477,P04217
BM00015,A2M,proteomic,Breast,1,"From NCBI Gene: The protein encoded by this gene is a protease inhibitor and cytokine transporter. It uses a bait-and-trap mechanism to inhibit a broad spectrum of proteases, including trypsin, thrombin and collagenase. It can also inhibit inflammatory cytokines, and it thus disrupts inflammatory cascades. Mutations in this gene are a cause of alpha-2-macroglobulin deficiency. This gene is implicated in Alzheimer's disease (AD) due to its ability to mediate the clearance and degradation of A-beta, the major component of beta-amyloid deposits. A related pseudogene, which is also located on the p arm of chromosome 12, has been identified. [provided by RefSeq, Nov 2016]",,A2M,http://edrn.jpl.nasa.gov/bmdb/biomarkers/view/1478,P01023
BM00016,ABCA2,genomic,Prostate,1,"ATP-binding cassette, sub-family A (ABC1), member 2",,ABCA2,http://edrn.jpl.nasa.gov/bmdb/biomarkers/view/556,Q9BZC7
BM00017,ACBP,proteomic,Lung,2,"DBI, diazepam binding inhibitor, was previously known as ACBP, acyl-coA binding protein.  This protein is regulated by hormones, is involved in lipid metabolism, and is thought to act as a neuropeptide to regulate the action of the GABA receptor.  DBI is conserved across species.  The most highly conserved domain is the hydrophobic binding site for medium- and long-chain acyl-coA esters.  DBI is involved in the regulation of pancreatic secretion and release of cholecystokinin.  There are three pseudogenes for DBI on separate chromosomes.  DBI has multiple transcript variants encoding different isoforms.",,DBI,http://edrn.jpl.nasa.gov/bmdb/biomarkers/view/402,P07108
BM00018,ACKR3,proteomic,Ovary,2,"From NCBI Gene: This gene encodes a member of the G-protein coupled receptor family. Although this protein was earlier thought to be a receptor for vasoactive intestinal peptide (VIP), it is now considered to be an orphan receptor, in that its endogenous ligand has not been identified. The protein is also a coreceptor for human immunodeficiency viruses (HIV). Translocations involving this gene and HMGA2 on chromosome 12 have been observed in lipomas. [provided by RefSeq, Jul 2008]",,ACKR3,http://edrn.jpl.nasa.gov/bmdb/biomarkers/view/363,P25106
BM00019,ACO1,genomic,Prostate,1,"From NCBI Gene: The protein encoded by this gene is a bifunctional, cytosolic protein that functions as an essential enzyme in the TCA cycle and interacts with mRNA to control the levels of iron inside cells. When cellular iron levels are high, this protein binds to a 4Fe-4S cluster and functions as an aconitase. Aconitases are iron-sulfur proteins that function to catalyze the conversion of citrate to isocitrate. When cellular iron levels are low, the protein binds to iron-responsive elements (IREs), which are stem-loop structures found in the 5' UTR of ferritin mRNA, and in the 3' UTR of transferrin receptor mRNA. When the protein binds to IRE, it results in repression of translation of ferritin mRNA, and inhibition of degradation of the otherwise rapidly degraded transferrin receptor mRNA. The encoded protein has been identified as a moonlighting protein based on its ability to perform mechanistically distinct functions. Alternative splicing results in multiple transcript variants [provided by RefSeq, Jan 2014]",,ACO1,http://edrn.jpl.nasa.gov/bmdb/biomarkers/view/557,P21399
BM00020,ACP3,genomic,Prostate,3,"From NCBI Gene: This gene encodes an enzyme that catalyzes the conversion of orthophosphoric monoester to alcohol and orthophosphate. It is synthesized under androgen regulation and is secreted by the epithelial cells of the prostate gland. An alternatively spliced transcript variant encoding a longer isoform has been found for this gene. This isoform contains a transmembrane domain and is localized in the plasma membrane-endosomal-lysosomal pathway. [provided by RefSeq, Sep 2008]",,ACP3,http://edrn.jpl.nasa.gov/bmdb/biomarkers/view/1217,P15309
BM00021,ACSL3,genomic,Prostate,1,acyl-CoA synthetase long-chain family member 3,,ACSL3,http://edrn.jpl.nasa.gov/bmdb/biomarkers/view/558,O95573
BM00022,ACTC1,genomic,Prostate,1,"actin, alpha, cardiac muscle 1",,ACTC1,http://edrn.jpl.nasa.gov/bmdb/biomarkers/view/559,P68032
BM00023,ACTN4,proteomic,Breast,1,"From NCBI Gene: Alpha actinins belong to the spectrin gene superfamily which represents a diverse group of cytoskeletal proteins, including the alpha and beta spectrins and dystrophins. Alpha actinin is an actin-binding protein with multiple roles in different cell types. In nonmuscle cells, the cytoskeletal isoform is found along microfilament bundles and adherens-type junctions, where it is involved in binding actin to the membrane. In contrast, skeletal, cardiac, and smooth muscle isoforms are localized to the Z-disc and analogous dense bodies, where they help anchor the myofibrillar actin filaments. This gene encodes a nonmuscle, alpha actinin isoform which is concentrated in the cytoplasm, and thought to be involved in metastatic processes. Mutations in this gene have been associated with focal and segmental glomerulosclerosis. [provided by RefSeq, Jul 2008]",,ACTN4,http://edrn.jpl.nasa.gov/bmdb/biomarkers/view/1479,O43707
BM00024,ACTR3,proteomic,Ovary,2,"From NCBI Gene: The specific function of this gene has not yet been determined; however, the protein it encodes is known to be a major constituent of the ARP2/3 complex. This complex is located at the cell surface and is essential to cell shape and motility through lamellipodial actin assembly and protrusion. Three transcript variants encoding two different isoforms have been found for this gene. [provided by RefSeq, Mar 2013]",,ACTR3,http://edrn.jpl.nasa.gov/bmdb/biomarkers/view/357,P61158
BM00025,ACY1,genomic,Prostate,1,aminoacylase 1,,ACY1,http://edrn.jpl.nasa.gov/bmdb/biomarkers/view/560,Q03154
BM00026,ADAM12,proteomic,Ovary,2,"From NCBI Gene: This gene encodes a member of a family of proteins that are structurally related to snake venom disintegrins and have been implicated in a variety of biological processes involving cell-cell and cell-matrix interactions, including fertilization, muscle development, and neurogenesis. Expression of this gene has been used as a maternal serum marker for pre-natal development. Alternative splicing results in multiple transcript variants encoding different isoforms. Shorter isoforms are secreted, while longer isoforms are membrane-bound form. [provided by RefSeq, Jan 2014]",,ADAM12,http://edrn.jpl.nasa.gov/bmdb/biomarkers/view/358,O43184
BM00027,ADH5,proteomic,Breast,2,"From NCBI Gene: This gene encodes a member of the alcohol dehydrogenase family. Members of this family metabolize a wide variety of substrates, including ethanol, retinol, other aliphatic alcohols, hydroxysteroids, and lipid peroxidation products. The encoded protein forms a homodimer. It has virtually no activity for ethanol oxidation, but exhibits high activity for oxidation of long-chain primary alcohols and for oxidation of S-hydroxymethyl-glutathione, a spontaneous adduct between formaldehyde and glutathione. This enzyme is an important component of cellular metabolism for the elimination of formaldehyde, a potent irritant and sensitizing agent that causes lacrymation, rhinitis, pharyngitis, and contact dermatitis. The human genome contains several non-transcribed pseudogenes related to this gene. [provided by RefSeq, Oct 2008]",,ADH5,http://edrn.jpl.nasa.gov/bmdb/biomarkers/view/892,P11766
BM00028,ADIPOQ,proteomic,Breast,3,"From NCBI Gene: This gene is expressed in adipose tissue exclusively. It encodes a protein with similarity to collagens X and VIII and complement factor C1q. The encoded protein circulates in the plasma and is involved with metabolic and hormonal processes. Mutations in this gene are associated with adiponectin deficiency. Multiple alternatively spliced variants, encoding the same protein, have been identified. [provided by RefSeq, Apr 2010]",,ADIPOQ,http://edrn.jpl.nasa.gov/bmdb/biomarkers/view/1016,Q15848
