PathwayID,Name,PathwayDBID,Description
PW00001,Ethanol oxidation,R-HSA-71384,Reactome pathway R-HSA-71384
PW00002,hsa:128,hsa:128,KEGG gene entry hsa:128
PW00003,PPARA activates gene expression,R-HSA-1989781,Reactome pathway R-HSA-1989781
PW00004,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),R-HSA-381426,Reactome pathway R-HSA-381426
PW00005,Post-translational protein phosphorylation,R-HSA-8957275,Reactome pathway R-HSA-8957275
PW00006,Chylomicron assembly,R-HSA-8963888,Reactome pathway R-HSA-8963888
PW00007,Chylomicron remodeling,R-HSA-8963901,Reactome pathway R-HSA-8963901
PW00008,Retinoid metabolism and transport,R-HSA-975634,Reactome pathway R-HSA-975634
PW00009,hsa:336,hsa:336,KEGG gene entry hsa:336
PW00010,ER-Phagosome pathway,R-HSA-1236974,Reactome pathway R-HSA-1236974
PW00011,Assembly of Viral Components at the Budding Site,R-HSA-168316,Reactome pathway R-HSA-168316
PW00012,Scavenging by Class A Receptors,R-HSA-3000480,Reactome pathway R-HSA-3000480
PW00013,Scavenging by Class F Receptors,R-HSA-3000484,Reactome pathway R-HSA-3000484
PW00014,ATF6 (ATF6-alpha) activates chaperone genes,R-HSA-381183,Reactome pathway R-HSA-381183
PW00015,Calnexin/calreticulin cycle,R-HSA-901042,Reactome pathway R-HSA-901042
PW00016,"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",R-HSA-983170,Reactome pathway R-HSA-983170
PW00017,hsa:811,hsa:811,KEGG gene entry hsa:811
PW00018,Defective GALNT3 causes HFTC,R-HSA-5083625,Reactome pathway R-HSA-5083625
PW00019,Defective C1GALT1C1 causes TNPS,R-HSA-5083632,Reactome pathway R-HSA-5083632
PW00020,Defective GALNT12 causes CRCS1,R-HSA-5083636,Reactome pathway R-HSA-5083636
PW00021,Dectin-2 family,R-HSA-5621480,Reactome pathway R-HSA-5621480
PW00022,O-linked glycosylation of mucins,R-HSA-913709,Reactome pathway R-HSA-913709
PW00023,Termination of O-glycan biosynthesis,R-HSA-977068,Reactome pathway R-HSA-977068
PW00024,hsa:4586,hsa:4586,KEGG gene entry hsa:4586
PW00025,Collagen degradation,R-HSA-1442490,Reactome pathway R-HSA-1442490
PW00026,Degradation of the extracellular matrix,R-HSA-1474228,Reactome pathway R-HSA-1474228
PW00027,Activation of Matrix Metalloproteinases,R-HSA-1592389,Reactome pathway R-HSA-1592389
PW00028,Basigin interactions,R-HSA-210991,Reactome pathway R-HSA-210991
PW00029,Interleukin-4 and Interleukin-13 signaling,R-HSA-6785807,Reactome pathway R-HSA-6785807
PW00030,hsa:4312,hsa:4312,KEGG gene entry hsa:4312
PW00031,MGMT-mediated DNA damage reversal,R-HSA-5657655,Reactome pathway R-HSA-5657655
PW00032,hsa:4255,hsa:4255,KEGG gene entry hsa:4255
PW00033,Gamma-carboxylation of protein precursors,R-HSA-159740,Reactome pathway R-HSA-159740
PW00034,Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus,R-HSA-159763,Reactome pathway R-HSA-159763
PW00035,Removal of aminoterminal propeptides from gamma-carboxylated proteins,R-HSA-159782,Reactome pathway R-HSA-159782
PW00036,RUNX2 regulates osteoblast differentiation,R-HSA-8940973,Reactome pathway R-HSA-8940973
PW00037,hsa:632,hsa:632,KEGG gene entry hsa:632
PW00038,Interferon gamma signaling,R-HSA-877300,Reactome pathway R-HSA-877300
PW00039,Regulation of IFNG signaling,R-HSA-877312,Reactome pathway R-HSA-877312
PW00040,RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs),R-HSA-8877330,Reactome pathway R-HSA-8877330
PW00041,Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,R-HSA-8950505,Reactome pathway R-HSA-8950505
PW00042,IFNG signaling activates MAPKs,R-HSA-9732724,Reactome pathway R-HSA-9732724
PW00043,hsa:3458,hsa:3458,KEGG gene entry hsa:3458
PW00044,G alpha (q) signalling events,R-HSA-416476,Reactome pathway R-HSA-416476
PW00045,G alpha (i) signalling events,R-HSA-418594,Reactome pathway R-HSA-418594
PW00046,Formyl peptide receptors bind formyl peptides and many other ligands,R-HSA-444473,Reactome pathway R-HSA-444473
PW00047,Smooth Muscle Contraction,R-HSA-445355,Reactome pathway R-HSA-445355
PW00048,Developmental Lineage of Pancreatic Ductal Cells,R-HSA-9925563,Reactome pathway R-HSA-9925563
PW00049,hsa:301,hsa:301,KEGG gene entry hsa:301
PW00050,Downstream signal transduction,R-HSA-186763,Reactome pathway R-HSA-186763
PW00051,STAT6-mediated induction of chemokines,R-HSA-3249367,Reactome pathway R-HSA-3249367
PW00052,hsa:6778,hsa:6778,KEGG gene entry hsa:6778
PW00053,Striated Muscle Contraction,R-HSA-390522,Reactome pathway R-HSA-390522
PW00054,RHOA GTPase cycle,R-HSA-8980692,Reactome pathway R-HSA-8980692
PW00055,RHOB GTPase cycle,R-HSA-9013026,Reactome pathway R-HSA-9013026
PW00056,Regulation of CDH1 Function,R-HSA-9764561,Reactome pathway R-HSA-9764561
PW00057,Formation of the dystrophin-glycoprotein complex (DGC),R-HSA-9913351,Reactome pathway R-HSA-9913351
PW00058,hsa:70,hsa:70,KEGG gene entry hsa:70
PW00059,Platelet degranulation,R-HSA-114608,Reactome pathway R-HSA-114608
PW00060,Regulation of gene expression by Hypoxia-inducible Factor,R-HSA-1234158,Reactome pathway R-HSA-1234158
PW00061,Signaling by VEGF,R-HSA-194138,Reactome pathway R-HSA-194138
PW00062,VEGF ligand-receptor interactions,R-HSA-194313,Reactome pathway R-HSA-194313
PW00063,VEGF binds to VEGFR leading to receptor dimerization,R-HSA-195399,Reactome pathway R-HSA-195399
PW00064,VEGFA-VEGFR2 Pathway,R-HSA-4420097,Reactome pathway R-HSA-4420097
PW00065,VEGFR2 mediated cell proliferation,R-HSA-5218921,Reactome pathway R-HSA-5218921
PW00066,TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,R-HSA-8866910,Reactome pathway R-HSA-8866910
PW00067,Potential therapeutics for SARS,R-HSA-9679191,Reactome pathway R-HSA-9679191
PW00068,hsa:7422,hsa:7422,KEGG gene entry hsa:7422
PW00069,Glutathione synthesis and recycling,R-HSA-174403,Reactome pathway R-HSA-174403
PW00070,Synthesis of Leukotrienes (LT) and Eoxins (EX),R-HSA-2142691,Reactome pathway R-HSA-2142691
PW00071,Aflatoxin activation and detoxification,R-HSA-5423646,Reactome pathway R-HSA-5423646
PW00072,Defective GGT1 causes GLUTH,R-HSA-5579022,Reactome pathway R-HSA-5579022
PW00073,Defective GGT1 in aflatoxin detoxification causes GLUTH,R-HSA-9035968,Reactome pathway R-HSA-9035968
PW00074,LTC4-CYSLTR mediated IL4 production,R-HSA-9664535,Reactome pathway R-HSA-9664535
PW00075,Paracetamol ADME,R-HSA-9753281,Reactome pathway R-HSA-9753281
PW00076,hsa:2678,hsa:2678,KEGG gene entry hsa:2678
PW00077,RAF/MAP kinase cascade,R-HSA-5673001,Reactome pathway R-HSA-5673001
PW00078,RET signaling,R-HSA-8853659,Reactome pathway R-HSA-8853659
PW00079,NPAS4 regulates expression of target genes,R-HSA-9768919,Reactome pathway R-HSA-9768919
PW00080,Formation of the nephric duct,R-HSA-9830364,Reactome pathway R-HSA-9830364
PW00081,Formation of the ureteric bud,R-HSA-9830674,Reactome pathway R-HSA-9830674
PW00082,hsa:5979,hsa:5979,KEGG gene entry hsa:5979
PW00083,"BMAL1:CLOCK,NPAS2 activates circadian expression",R-HSA-1368108,Reactome pathway R-HSA-1368108
PW00084,SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,R-HSA-2173796,Reactome pathway R-HSA-2173796
PW00085,ECM proteoglycans,R-HSA-3000178,Reactome pathway R-HSA-3000178
PW00086,Dissolution of Fibrin Clot,R-HSA-75205,Reactome pathway R-HSA-75205
PW00087,"Regulation of MITF-M-dependent genes involved in extracellular matrix, focal adhesion and epithelial-to-mesenchymal transition",R-HSA-9926550,Reactome pathway R-HSA-9926550
PW00088,hsa:5054,hsa:5054,KEGG gene entry hsa:5054
PW00089,NGF-stimulated transcription,R-HSA-9031628,Reactome pathway R-HSA-9031628
PW00090,Nuclear events stimulated by ALK signaling in cancer,R-HSA-9725371,Reactome pathway R-HSA-9725371
PW00091,hsa:3726,hsa:3726,KEGG gene entry hsa:3726
PW00092,COPII-mediated vesicle transport,R-HSA-204005,Reactome pathway R-HSA-204005
PW00093,Cargo concentration in the ER,R-HSA-5694530,Reactome pathway R-HSA-5694530
PW00094,COPI-mediated anterograde transport,R-HSA-6807878,Reactome pathway R-HSA-6807878
PW00095,hsa:2348,hsa:2348,KEGG gene entry hsa:2348
PW00096,Chemokine receptors bind chemokines,R-HSA-380108,Reactome pathway R-HSA-380108
PW00097,hsa:6361,hsa:6361,KEGG gene entry hsa:6361
PW00098,ATF4 activates genes in response to endoplasmic reticulum stress,R-HSA-380994,Reactome pathway R-HSA-380994
PW00099,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",R-HSA-9615017,Reactome pathway R-HSA-9615017
PW00100,hsa:3484,hsa:3484,KEGG gene entry hsa:3484
PW00101,Phase I - Functionalization of compounds,R-HSA-211945,Reactome pathway R-HSA-211945
PW00102,Xenobiotics,R-HSA-211981,Reactome pathway R-HSA-211981
PW00103,Biosynthesis of maresin-like SPMs,R-HSA-9027307,Reactome pathway R-HSA-9027307
PW00104,Aspirin ADME,R-HSA-9749641,Reactome pathway R-HSA-9749641
PW00105,Atorvastatin ADME,R-HSA-9754706,Reactome pathway R-HSA-9754706
PW00106,Prednisone ADME,R-HSA-9757110,Reactome pathway R-HSA-9757110
PW00107,hsa:1576,hsa:1576,KEGG gene entry hsa:1576
PW00108,Glutathione conjugation,R-HSA-156590,Reactome pathway R-HSA-156590
PW00109,Detoxification of Reactive Oxygen Species,R-HSA-3299685,Reactome pathway R-HSA-3299685
PW00110,Neutrophil degranulation,R-HSA-6798695,Reactome pathway R-HSA-6798695
PW00111,hsa:2950,hsa:2950,KEGG gene entry hsa:2950
PW00112,Cell surface interactions at the vascular wall,R-HSA-202733,Reactome pathway R-HSA-202733
PW00113,Scavenging by Class B Receptors,R-HSA-3000471,Reactome pathway R-HSA-3000471
PW00114,Scavenging by Class H Receptors,R-HSA-3000497,Reactome pathway R-HSA-3000497
PW00115,Platelet sensitization by LDL,R-HSA-432142,Reactome pathway R-HSA-432142
PW00116,Regulation of TLR by endogenous ligand,R-HSA-5686938,Reactome pathway R-HSA-5686938
PW00117,Cargo recognition for clathrin-mediated endocytosis,R-HSA-8856825,Reactome pathway R-HSA-8856825
PW00118,Clathrin-mediated endocytosis,R-HSA-8856828,Reactome pathway R-HSA-8856828
PW00119,VLDL assembly,R-HSA-8866423,Reactome pathway R-HSA-8866423
PW00120,Chylomicron clearance,R-HSA-8964026,Reactome pathway R-HSA-8964026
PW00121,LDL clearance,R-HSA-8964038,Reactome pathway R-HSA-8964038
PW00122,LDL remodeling,R-HSA-8964041,Reactome pathway R-HSA-8964041
PW00123,VLDL clearance,R-HSA-8964046,Reactome pathway R-HSA-8964046
PW00124,Heme signaling,R-HSA-9707616,Reactome pathway R-HSA-9707616
PW00125,hsa:338,hsa:338,KEGG gene entry hsa:338
PW00126,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,R-HSA-198933,Reactome pathway R-HSA-198933
PW00127,Integrin cell surface interactions,R-HSA-216083,Reactome pathway R-HSA-216083
PW00128,hsa:7412,hsa:7412,KEGG gene entry hsa:7412
PW00129,Hyaluronan metabolism,R-HSA-2142845,Reactome pathway R-HSA-2142845
PW00130,Hyaluronan degradation,R-HSA-2160916,Reactome pathway R-HSA-2160916
PW00131,hsa:8692,hsa:8692,KEGG gene entry hsa:8692
