InteractionID,GeneSymbol,DrugID,DrugName,ConceptID,InteractionType,Directionality,Score,PMIDs,Sources
IX00001,ADH5,D00001,CAVOSONSTAT,ncit:C174782,inhibitor,INHIBITORY,7.457685508412219,,ChEMBL
IX00002,ADH5,D00002,NOX-6-18,iuphar.ligand:12944,inhibitor,INHIBITORY,7.457685508412219,,GuideToPharmacology
IX00003,ADH5,D00003,9-HYDROXYOCTADECADIENOIC ACID,iuphar.ligand:5567,agonist,ACTIVATING,7.457685508412219,,GuideToPharmacology
IX00004,ADH5,D00004,ONC212,iuphar.ligand:11337,agonist,ACTIVATING,7.457685508412219,,GuideToPharmacology
IX00005,ADH5,D00005,N6022,chembl:CHEMBL1738699,inhibitor,INHIBITORY,3.728842754206109,,ChEMBL
IX00006,ADH5,D00006,NITREFAZOLE,ncit:C72626,inhibitor,INHIBITORY,1.065383644058888,,ChEMBL
IX00007,ADH5,D00007,NOX-6-7,iuphar.ligand:12945,agonist,ACTIVATING,7.457685508412219,,GuideToPharmacology
IX00008,ACTC1,D00008,THERAPEUTIC GLUCOCORTICOID,ncit:C521,,,0.1395823490879292,15988617,NCI
IX00009,ACTC1,D00009,CCL20,iuphar.ligand:808,agonist,ACTIVATING,1.186449967247398,,GuideToPharmacology
IX00010,ACTC1,D00010,ACT-660602,iuphar.ligand:12207,inhibitor,INHIBITORY,2.372899934494797,,GuideToPharmacology
IX00011,ACTC1,D00011,CCL11,iuphar.ligand:769,inhibitor,INHIBITORY,0.5932249836236992,,GuideToPharmacology
IX00012,ACTC1,D00012,DEXAMETHASONE,rxcui:3264,,,0.05583293963517169,15988617,NCI
IX00013,ACTC1,D00013,CXCL9,iuphar.ligand:837,agonist,ACTIVATING,1.186449967247398,,GuideToPharmacology
IX00014,ACTC1,D00014,DURAMYCIN,iuphar.ligand:841,inhibitor,INHIBITORY,2.372899934494797,,GuideToPharmacology
IX00015,ACTC1,D00015,CCL7,iuphar.ligand:759,inhibitor,INHIBITORY,0.4745799868989593,,GuideToPharmacology
IX00016,ACTC1,D00016,CXCL12&ALPHA;,iuphar.ligand:4358,agonist,ACTIVATING,0.790966644831599,,GuideToPharmacology
IX00017,ACTC1,D00017,KALLSTROEMIN D,iuphar.ligand:843,inhibitor,INHIBITORY,2.372899934494797,,GuideToPharmacology
IX00018,ACTC1,D00018,ACT-777991,iuphar.ligand:12584,inhibitor,INHIBITORY,2.372899934494797,,GuideToPharmacology
IX00019,ACTC1,D00019,[125I]CXCL10 (HUMAN),iuphar.ligand:3660,agonist,ACTIVATING,2.372899934494797,,GuideToPharmacology
IX00020,ACTC1,D00020,NBI-74330,iuphar.ligand:839,inhibitor,INHIBITORY,2.372899934494797,,GuideToPharmacology
IX00021,ACTC1,D00021,DIOSCIN,iuphar.ligand:840,inhibitor,INHIBITORY,0.790966644831599,,GuideToPharmacology
IX00022,ACTC1,D00022,[125I]CXCL11 (HUMAN),iuphar.ligand:3661,agonist,ACTIVATING,2.372899934494797,,GuideToPharmacology
IX00023,ACTC1,D00023,AMG487,iuphar.ligand:13071,inhibitor,INHIBITORY,2.372899934494797,,GuideToPharmacology
IX00024,ACTC1,D00024,CCL13,iuphar.ligand:770,agonist,ACTIVATING,0.4745799868989593,,GuideToPharmacology
IX00025,ACTC1,D00025,CXCL11,iuphar.ligand:836,agonist,ACTIVATING,0.790966644831599,,GuideToPharmacology
IX00026,ACTC1,D00026,HYPOGLAUCIN A,iuphar.ligand:842,inhibitor,INHIBITORY,2.372899934494797,,GuideToPharmacology
IX00027,ACTC1,D00027,CCL5,iuphar.ligand:758,agonist,ACTIVATING,0.4745799868989593,,GuideToPharmacology
IX00028,ACTC1,D00028,CXCL10,iuphar.ligand:835,agonist,ACTIVATING,1.186449967247398,,GuideToPharmacology
IX00029,ACTC1,D00029,CCL19,iuphar.ligand:810,agonist,ACTIVATING,0.5932249836236992,,GuideToPharmacology
IX00030,AGT,D00030,ENALAPRIL MALEATE,rxcui:203123,,,0.3052853716893891,11928713,NCI
IX00031,AGT,D00031,ANGIOGENESIS INHIBITOR,ncit:C1742,,,0.483368505174866,15578913,NCI
IX00032,AGT,D00032,IMIDAPRIL,rxcui:60245,,,1.450105515524598,25143324,PharmGKB
IX00033,AGT,D00033,ADENOVIRUS VECTOR,ncit:C1890,,,0.4143158615784566,16014023,NCI
IX00034,AGT,D00034,BENAZEPRIL,rxcui:18867,,,1.933474020699464,25143324|21449848|17261659,PharmGKB
IX00035,AGT,D00035,CHLORTHALIDONE,rxcui:2409,,,0.6444913402331547,25278896,PharmGKB
IX00036,AGT,D00036,CYCLOSPORINE,rxcui:3008,,,0.06667151795515393,10642325,NCI
IX00037,AGT,D00037,HYDROCORTISONE BUTYRATE,rxcui:103468,,,0.1381052871928188,15576665,NCI
IX00038,AGT,D00038,MESTRANOL,rxcui:6782,,,0.6444913402331547,3023023,NCI
IX00039,AGT,D00039,CYT006-ANGQB,drugbank:DB05739,,,2.900211031049196,,TdgClinicalTrial
IX00040,AGT,D00040,QUINAPRIL,rxcui:35208,,,3.866948041398928,12693379|11849656,NCI|PharmGKB
IX00041,AGT,D00041,HYDROCHLOROTHIAZIDE,rxcui:5487,,,0.1260961317847476,14735111,PharmGKB
IX00042,AGT,D00042,GSK-2586881,chembl:CHEMBL4297887,cleavage,INHIBITORY,2.900211031049196,,ChEMBL
IX00043,AGT,D00043,LISINOPRIL ANHYDROUS,rxcui:1546022,,,0.725052757762299,25278896,PharmGKB
IX00044,AGT,D00044,ADRIAMYCIN,wikidata:Q47520887,,,0.3052853716893891,7581027,NCI
IX00045,AGT,D00045,AMLODIPINE BESYLATE,rxcui:104416,,,0.3866948041398929,25278896,PharmGKB
IX00046,AGT,D00046,CILAZAPRIL,rxcui:21102,,,0.9667370103497321,,TEND
IX00047,AGT,D00047,ASPIRIN,rxcui:1191,,,0.06517328159661116,20824505,PharmGKB
IX00048,ACO1,D00048,ANTIOXIDANT,ncit:C275,,,1.657263446313826,10037708,NCI
IX00049,ACO1,D00049,ANTISERUM,ncit:C571,,,0.9943580677882958,8764614,NCI
IX00050,ACO1,D00050,ACETYLCYSTEINE,rxcui:197,,,2.320168824839357,10037708,NCI
IX00051,ACP3,D00051,ALANINE,rxcui:426,agonist,ACTIVATING,1.04407597117771,,GuideToPharmacology
IX00052,ACP3,D00052,MODIFIED VACCINIA ANKARA-BAVARIAN NORDIC,rxcui:2464823,,,2.610189927944276,,TdgClinicalTrial
