DrugPathwayID,DrugID,PathwayID,EvidenceSource
DP00001,D00001,PW00001,Reactome
DP00002,D00001,PW00002,KEGG
DP00003,D00002,PW00001,Reactome
DP00004,D00002,PW00002,KEGG
DP00005,D00003,PW00001,Reactome
DP00006,D00003,PW00002,KEGG
DP00007,D00004,PW00001,Reactome
DP00008,D00004,PW00002,KEGG
DP00009,D00005,PW00001,Reactome
DP00010,D00005,PW00002,KEGG
DP00011,D00006,PW00001,Reactome
DP00012,D00006,PW00002,KEGG
DP00013,D00007,PW00001,Reactome
DP00014,D00007,PW00002,KEGG
DP00015,D00008,PW00003,Reactome
DP00016,D00008,PW00004,Reactome
DP00017,D00008,PW00005,Reactome
DP00018,D00008,PW00006,Reactome
DP00019,D00008,PW00007,Reactome
DP00020,D00008,PW00008,Reactome
DP00021,D00008,PW00009,KEGG
DP00022,D00008,PW00010,Reactome
DP00023,D00008,PW00011,Reactome
DP00024,D00008,PW00012,Reactome
DP00025,D00008,PW00013,Reactome
DP00026,D00008,PW00014,Reactome
DP00027,D00008,PW00015,Reactome
DP00028,D00008,PW00016,Reactome
DP00029,D00008,PW00017,KEGG
DP00030,D00008,PW00018,Reactome
DP00031,D00008,PW00019,Reactome
DP00032,D00008,PW00020,Reactome
DP00033,D00008,PW00021,Reactome
DP00034,D00008,PW00022,Reactome
DP00035,D00008,PW00023,Reactome
DP00036,D00008,PW00024,KEGG
DP00037,D00008,PW00025,Reactome
DP00038,D00008,PW00026,Reactome
DP00039,D00008,PW00027,Reactome
DP00040,D00008,PW00028,Reactome
DP00041,D00008,PW00029,Reactome
DP00042,D00008,PW00030,KEGG
DP00043,D00008,PW00031,Reactome
DP00044,D00008,PW00032,KEGG
DP00045,D00008,PW00033,Reactome
DP00046,D00008,PW00034,Reactome
DP00047,D00008,PW00035,Reactome
DP00048,D00008,PW00036,Reactome
DP00049,D00008,PW00037,KEGG
DP00050,D00008,PW00038,Reactome
DP00051,D00008,PW00039,Reactome
DP00052,D00008,PW00040,Reactome
DP00053,D00008,PW00041,Reactome
DP00054,D00008,PW00042,Reactome
DP00055,D00008,PW00043,KEGG
DP00056,D00008,PW00044,Reactome
DP00057,D00008,PW00045,Reactome
DP00058,D00008,PW00046,Reactome
DP00059,D00008,PW00047,Reactome
DP00060,D00008,PW00048,Reactome
DP00061,D00008,PW00049,KEGG
DP00062,D00008,PW00050,Reactome
DP00063,D00008,PW00051,Reactome
DP00064,D00008,PW00052,KEGG
DP00065,D00008,PW00053,Reactome
DP00066,D00008,PW00054,Reactome
DP00067,D00008,PW00055,Reactome
DP00068,D00008,PW00056,Reactome
DP00069,D00008,PW00057,Reactome
DP00070,D00008,PW00058,KEGG
DP00071,D00009,PW00053,Reactome
DP00072,D00009,PW00054,Reactome
DP00073,D00009,PW00055,Reactome
DP00074,D00009,PW00056,Reactome
DP00075,D00009,PW00057,Reactome
DP00076,D00009,PW00058,KEGG
DP00077,D00010,PW00053,Reactome
DP00078,D00010,PW00054,Reactome
DP00079,D00010,PW00055,Reactome
DP00080,D00010,PW00056,Reactome
DP00081,D00010,PW00057,Reactome
DP00082,D00010,PW00058,KEGG
DP00083,D00011,PW00053,Reactome
DP00084,D00011,PW00054,Reactome
DP00085,D00011,PW00055,Reactome
DP00086,D00011,PW00056,Reactome
DP00087,D00011,PW00057,Reactome
DP00088,D00011,PW00058,KEGG
DP00089,D00012,PW00059,Reactome
DP00090,D00012,PW00060,Reactome
DP00091,D00012,PW00061,Reactome
DP00092,D00012,PW00062,Reactome
DP00093,D00012,PW00063,Reactome
DP00094,D00012,PW00064,Reactome
DP00095,D00012,PW00065,Reactome
DP00096,D00012,PW00029,Reactome
DP00097,D00012,PW00066,Reactome
DP00098,D00012,PW00067,Reactome
DP00099,D00012,PW00068,KEGG
DP00100,D00012,PW00069,Reactome
DP00101,D00012,PW00070,Reactome
DP00102,D00012,PW00071,Reactome
DP00103,D00012,PW00072,Reactome
DP00104,D00012,PW00073,Reactome
DP00105,D00012,PW00074,Reactome
DP00106,D00012,PW00075,Reactome
DP00107,D00012,PW00076,KEGG
DP00108,D00012,PW00044,Reactome
DP00109,D00012,PW00045,Reactome
DP00110,D00012,PW00046,Reactome
DP00111,D00012,PW00047,Reactome
DP00112,D00012,PW00048,Reactome
DP00113,D00012,PW00049,KEGG
DP00114,D00012,PW00077,Reactome
DP00115,D00012,PW00078,Reactome
DP00116,D00012,PW00079,Reactome
DP00117,D00012,PW00080,Reactome
DP00118,D00012,PW00081,Reactome
DP00119,D00012,PW00082,KEGG
DP00120,D00012,PW00083,Reactome
DP00121,D00012,PW00084,Reactome
DP00122,D00012,PW00085,Reactome
DP00123,D00012,PW00086,Reactome
DP00124,D00012,PW00087,Reactome
DP00125,D00012,PW00088,KEGG
DP00126,D00012,PW00089,Reactome
DP00127,D00012,PW00090,Reactome
DP00128,D00012,PW00091,KEGG
DP00129,D00012,PW00092,Reactome
DP00130,D00012,PW00093,Reactome
DP00131,D00012,PW00094,Reactome
DP00132,D00012,PW00095,KEGG
DP00133,D00012,PW00096,Reactome
DP00134,D00012,PW00097,KEGG
DP00135,D00012,PW00098,Reactome
DP00136,D00012,PW00004,Reactome
DP00137,D00012,PW00005,Reactome
DP00138,D00012,PW00099,Reactome
DP00139,D00012,PW00100,KEGG
DP00140,D00012,PW00053,Reactome
DP00141,D00012,PW00054,Reactome
DP00142,D00012,PW00055,Reactome
DP00143,D00012,PW00056,Reactome
DP00144,D00012,PW00057,Reactome
DP00145,D00012,PW00058,KEGG
DP00146,D00012,PW00101,Reactome
