DrugID,DrugDBID,Name,Modality,MechanismOfAction,MaxTrialPhase,IsApproved,HasBeenWithdrawn,SMILES,MolecularWeight
D00001,ncit:C174782,CAVOSONSTAT,,inhibitor,,False,,,
D00002,iuphar.ligand:12944,NOX-6-18,,inhibitor,,False,,,
D00003,iuphar.ligand:5567,9-HYDROXYOCTADECADIENOIC ACID,,agonist,,False,,,
D00004,iuphar.ligand:11337,ONC212,,agonist,,False,,,
D00005,chembl:CHEMBL1738699,N6022,,inhibitor,,False,,,
D00006,ncit:C72626,NITREFAZOLE,,inhibitor,,True,,,
D00007,iuphar.ligand:12945,NOX-6-7,,agonist,,False,,,
D00008,ncit:C521,THERAPEUTIC GLUCOCORTICOID,,,,False,,,
D00009,iuphar.ligand:808,CCL20,,agonist,,False,,,
D00010,iuphar.ligand:12207,ACT-660602,,inhibitor,,False,,,
D00011,iuphar.ligand:769,CCL11,,inhibitor,,False,,,
D00012,rxcui:3264,DEXAMETHASONE,Anti-Inflammatory Agents,,,True,,,
D00013,iuphar.ligand:837,CXCL9,,agonist,,False,,,
D00014,iuphar.ligand:841,DURAMYCIN,,inhibitor,,False,,,
D00015,iuphar.ligand:759,CCL7,,inhibitor,,False,,,
D00016,iuphar.ligand:4358,CXCL12&ALPHA;,,agonist,,False,,,
D00017,iuphar.ligand:843,KALLSTROEMIN D,,inhibitor,,False,,,
D00018,iuphar.ligand:12584,ACT-777991,,inhibitor,,False,,,
D00019,iuphar.ligand:3660,[125I]CXCL10 (HUMAN),,agonist,,False,,,
D00020,iuphar.ligand:839,NBI-74330,,inhibitor,,False,,,
D00021,iuphar.ligand:840,DIOSCIN,,inhibitor,,False,,,
D00022,iuphar.ligand:3661,[125I]CXCL11 (HUMAN),,agonist,,False,,,
D00023,iuphar.ligand:13071,AMG487,,inhibitor,,False,,,
D00024,iuphar.ligand:770,CCL13,,agonist,,False,,,
D00025,iuphar.ligand:836,CXCL11,,agonist,,False,,,
D00026,iuphar.ligand:842,HYPOGLAUCIN A,,inhibitor,,False,,,
D00027,iuphar.ligand:758,CCL5,,agonist,,False,,,
D00028,iuphar.ligand:835,CXCL10,,agonist,,False,,,
D00029,iuphar.ligand:810,CCL19,,agonist,,False,,,
D00030,rxcui:203123,ENALAPRIL MALEATE,Small Molecule,,,True,,,
D00031,ncit:C1742,ANGIOGENESIS INHIBITOR,,,,False,,,
D00032,rxcui:60245,IMIDAPRIL,,,,True,,,
D00033,ncit:C1890,ADENOVIRUS VECTOR,,,,False,,,
D00034,rxcui:18867,BENAZEPRIL,Antihypertensive Agents,,,True,,,
D00035,rxcui:2409,CHLORTHALIDONE,small molecule,,,True,,,
D00036,rxcui:3008,CYCLOSPORINE,Small molecule,,,True,,,
D00037,rxcui:103468,HYDROCORTISONE BUTYRATE,,,,True,,,
D00038,rxcui:6782,MESTRANOL,"Contraceptives, Oral",,,True,,,
D00039,drugbank:DB05739,CYT006-ANGQB,vaccine,,,False,,,
D00040,rxcui:35208,QUINAPRIL,Small Molecule,,,True,,,
D00041,rxcui:5487,HYDROCHLOROTHIAZIDE,Antihypertensive Agents,,,True,,,
D00042,chembl:CHEMBL4297887,GSK-2586881,,cleavage,,False,,,
D00043,rxcui:1546022,LISINOPRIL ANHYDROUS,Small Molecule,,,True,,,
D00044,wikidata:Q47520887,ADRIAMYCIN,,,,False,,,
D00045,rxcui:104416,AMLODIPINE BESYLATE,Small Molecule,,,True,,,
D00046,rxcui:21102,CILAZAPRIL,Antihypertensive Agents,,,True,,,
D00047,rxcui:1191,ASPIRIN,"Anti-Inflammatory Agents, Non-Steroidal",,,True,,,
D00048,ncit:C275,ANTIOXIDANT,,,,False,,,
D00049,ncit:C571,ANTISERUM,,,,False,,,
D00050,rxcui:197,ACETYLCYSTEINE,,,,True,,,
D00051,rxcui:426,ALANINE,,agonist,,True,,,
D00052,rxcui:2464823,MODIFIED VACCINIA ANKARA-BAVARIAN NORDIC,vaccine,,,True,,,
D00053,rxcui:2567,CITRULLINE,,agonist,,True,,,
D00054,rxcui:314709,"ORNITHINE, (L)-ISOMER",,agonist,,True,,,
D00055,rxcui:997261,SIPULEUCEL-T,,binder,,True,,,
D00056,rxcui:6536,LYSINE,,agonist,,True,,,
D00057,rxcui:9671,SERINE,,agonist,,True,,,
D00058,rxcui:1091,ARGININE,,agonist,,True,,,
D00059,rxcui:4919,GLYCINE,,agonist,,True,,,
D00060,rxcui:4885,GLUTAMINE,,agonist,,True,,,
D00061,iuphar.ligand:9763,CONTELTINIB,,inhibitor,,False,,,
D00062,iuphar.ligand:9381,PF-562271,FAK Inhibitor,inhibitor,,False,,,
D00063,iuphar.ligand:9382,NVP-TAE 226,,inhibitor,,False,,,
D00064,iuphar.ligand:5923,ALOISINE,,inhibitor,,False,,,
D00065,iuphar.ligand:2885,25-HYDROXYCHOLESTEROL,,agonist,,False,,,
D00066,iuphar.ligand:13053,GSK682753A,,agonist,,False,,,
D00067,iuphar.ligand:4354,"7&BETA;, 27-DIHYDROXYCHOLESTEROL",,agonist,,False,,,
D00068,iuphar.ligand:13050,COMPOUND 32 [PMID: 38047891],,inhibitor,,False,,,
D00069,iuphar.ligand:2752,27-HYDROXYCHOLESTEROL,,agonist,,False,,,
D00070,iuphar.ligand:4352,7&BETA;-HYDROXYCHOLESTEROL,,agonist,,False,,,
D00071,iuphar.ligand:4353,"7&ALPHA;,27-DIHYDROXYCHOLESTEROL",,agonist,,False,,,
D00072,iuphar.ligand:13051,NIBR51,,agonist,,False,,,
D00073,iuphar.ligand:4355,"7&BETA;, 25-DIHYDROXYCHOLESTEROL",,agonist,,False,,,
D00074,iuphar.ligand:13052,NIBR189,,inhibitor,,False,,,
D00075,iuphar.ligand:4351,7&ALPHA;-HYDROXYCHOLESTEROL,,agonist,,False,,,
D00076,iuphar.ligand:4350,"7&ALPHA;,25-DIHYDROXYCHOLESTEROL",,agonist,,False,,,
D00077,rxcui:31765,NICOTINE POLACRILEX,Central Nervous System Stimulants,,,True,,,
D00078,ncit:C211,THERAPEUTIC CORTICOSTEROID,,,,False,,,
D00079,rxcui:4179,ETOPOSIDE,small molecule,,,True,,,
D00080,rxcui:227239,MASOPROCOL,Small molecule,,,True,,,
D00081,rxcui:4511,FOLIC ACID,,,,True,,,
D00082,rxcui:89959,PHOSPHATIDYLSERINE,,agonist,,False,,,
D00083,rxcui:6851,METHOTREXATE,Small molecule,,,True,,,
D00084,chembl:CHEMBL2108669,YTTRIUM Y 90 TACATUZUMAB TETRAXETAN,,binder,,False,,,
D00085,rxcui:6964,MIFEPRISTONE,Small Molecule,,,True,,,
D00086,ncit:C241,ANALGESIC AGENT,,,,False,,,
D00087,rxcui:142433,DOXORUBICIN HYDROCHLORIDE,Small Molecule,,,True,,,
D00088,rxcui:105694,EPOETIN ALFA,protein,,,True,,,
D00089,rxcui:34120,POLYESTRADIOL PHOSPHATE,,,,True,,,
D00090,rxcui:5781,INDOMETHACIN,Small Molecule,,,True,,,
D00091,ncit:C9506,TEGAFUR-URACIL,,,,False,,,
D00092,rxcui:1622,BLEOMYCIN,Small Molecule,,,True,,,
D00093,rxcui:3100,DACTINOMYCIN,,,,True,,,
D00094,rxcui:1251,AZACITIDINE,Antineoplastic Agents,,,True,,,
D00095,ncit:C77178,BACILLUS CALMETTE-GUERIN ANTIGEN,,,,False,,,
D00096,rxcui:1310594,POLYETHYLENE GLYCOL 4000,,,,True,,,
D00097,rxcui:9500,RUTIN,,,,True,,,
D00098,ncit:C645,METHYLNITROSOUREA,,,,False,,,
D00099,drugbank:DB05512,MM-093,,,,False,,,
D00100,rxcui:11202,VINCRISTINE,Antineoplastic Agents,,,True,,,
D00101,ncit:C318,BROXURIDINE,,,,False,,,
D00102,rxcui:53654,NEVIRAPINE,,,,True,,,
D00103,rxcui:221100,FENOFIBRATE MICRONIZED,Antilipemic Agents,,,True,,,
D00104,rxcui:253182,"INSULIN, REGULAR, HUMAN",protein,,,True,,,
D00105,rxcui:9997,SPIRONOLACTONE,Antihypertensive Agents,,,True,,,
D00106,rxcui:141366,NARATRIPTAN,Small Molecule,agonist,,True,,,
D00107,iuphar.ligand:69,"GR 125,743",,inhibitor,,False,,,
D00108,rxcui:1827,BUSPIRONE,small molecule,agonist,,True,,,
D00109,rxcui:37418,SUMATRIPTAN,Anti-migraine Agents,agonist,,True,,,
D00110,rxcui:231049,ELETRIPTAN,Small Molecule,agonist,,True,,,
D00111,rxcui:35636,RISPERIDONE,Antipsychotic Agents,inhibitor,,True,,,
D00112,iuphar.ligand:77,SB 714786,,inhibitor,,False,,,
