JournalID,Name,ISSN,SCI_Ranking,ImpactFactor,Publisher
J00001,Journal of Clinical Oncology,0732-183X,731,1.649,Lippincott Williams & Wilkins
J00002,Annals of Oncology,0923-7534,381,1.004,Elsevier BV
J00003,The Lancet Oncology,1470-2045,509,8.812,Elsevier BV
J00004,Gynecologic Oncology,0090-8258,223,1.244,Elsevier BV
J00005,International Journal of Radiation Oncology*Biology*Physics,0360-3016,345,0.703,Elsevier BV
J00006,Radiotherapy and Oncology,0167-8140,223,0.496,Elsevier BV
J00007,Frontiers in Oncology,2234-943X,202,2.102,Frontiers Media
J00008,Annals of Surgical Oncology,1068-9265,236,1.417,Springer Science+Business Media
J00009,Neuro-Oncology,1522-8517,212,0.686,Oxford University Press
J00010,Oncology Reports,1021-335X,130,2.562,Elsevier BV
J00011,JAMA Oncology,2374-2437,237,6.03,American Medical Association
J00012,Journal of Surgical Oncology,0022-4790,155,1.455,Wiley
J00013,Nature Reviews Clinical Oncology,1759-4774,278,21.198,Nature Portfolio
J00014,Psycho-Oncology,1057-9249,201,1.822,Wiley
J00015,Oncology Letters,1792-1074,103,1.716,Spandidos Publishing
J00016,Journal of Thoracic Oncology,1556-0864,219,0.805,Elsevier BV
J00017,Oral Oncology,1368-8375,171,1.662,Elsevier BV
J00018,International Journal of Oncology,1791-2423,149,13.383,Spandidos Publishing
J00019,Journal of Neuro-Oncology,0167-594X,162,2.262,Springer Science+Business Media
J00020,Oncology,0030-2414,125,1.277,Karger Publishers
J00021,Journal of Hematology & Oncology,1756-8722,224,23.962,BioMed Central
J00022,Critical Reviews in Oncology/Hematology,1040-8428,177,4.249,Elsevier BV
J00023,Journal of Cancer Research and Clinical Oncology,0171-5216,136,3.825,Springer Science+Business Media
J00024,European Journal of Surgical Oncology,0748-7983,143,0.664,Elsevier BV
J00025,Medical Oncology,1357-0560,108,3.03,Springer Science+Business Media
J00026,Molecular Oncology,1574-7891,145,2.454,Elsevier BV
J00027,Radiation Oncology,1748-717X,114,2.353,BioMed Central
J00028,Seminars in Oncology,0093-7754,146,1.618,Elsevier BV
J00029,Clinical Oncology,0936-6555,110,0.95,Elsevier BV
J00030,Future Oncology,1479-6694,109,1.965,Future Medicine
J00031,Japanese Journal of Clinical Oncology,0368-2811,113,1.685,Oxford University Press
J00032,American Journal of Clinical Oncology,0277-3732,110,1.104,Lippincott Williams & Wilkins
J00033,Current Oncology,1198-0052,93,2.402,Multidisciplinary Digital Publishing Institute
J00034,Clinical & Translational Oncology,1699-048X,79,2.122,Springer Science+Business Media
J00035,Urologic Oncology Seminars and Original Investigations,1078-1439,106,1.008,Elsevier BV
J00036,Translational Oncology,1936-5233,94,3.51,Elsevier BV
J00037,Seminars in Radiation Oncology,1053-4296,121,3.088,Elsevier BV
J00038,Journal of Pediatric Hematology/Oncology,1077-4114,98,0.701,Lippincott Williams & Wilkins
J00039,World Journal of Surgical Oncology,1477-7819,99,1.973,BioMed Central
J00040,Current Opinion in Oncology,1040-8746,119,1.892,Lippincott Williams & Wilkins
J00041,Pathology & Oncology Research,1219-4956,75,2.918,Springer Science+Business Media
J00042,Surgical Oncology,0960-7404,99,1.241,Elsevier BV
J00043,International Journal of Clinical Oncology,1341-9625,92,2.223,Springer Science+Business Media
J00044,Oncology nursing forum,0190-535X,113,0.8,Oncology Nursing Society
J00045,Medical and Pediatric Oncology,0098-1532,108,0.0,"Alan R. Liss, Inc."
J00046,European Journal of Oncology Nursing,1462-3889,96,2.595,Elsevier BV
J00047,Current Oncology Reports,1523-3790,99,4.784,Springer Science+Business Media
J00048,European Journal of Cancer and Clinical Oncology,0277-5379,106,0.0,Pergamon Press
J00049,Journal of Oncology,1687-8450,91,0.1,Hindawi Publishing Corporation
J00050,Hematology/Oncology Clinics of North America,0889-8588,120,1.679,Elsevier BV
J00051,Cancer Research,0008-5472,464,0.5,American Association for Cancer Research
J00052,Clinical Cancer Research,1078-0432,415,1.264,American Association for Cancer Research
J00053,Breast Cancer Research and Treatment,0167-6806,218,2.554,Springer Science+Business Media
J00054,Breast Cancer Research,1465-5411,206,4.047,BioMed Central
J00055,Journal of Experimental & Clinical Cancer Research,1756-9966,181,9.15,BioMed Central
J00056,Molecular Cancer Research,1541-7786,155,2.302,American Association for Cancer Research
J00057,Japanese Journal of Cancer Research,0910-5050,112,0.0,Oxford University Press
J00058,Technology in Cancer Research & Treatment,1533-0338,85,2.325,SAGE Publishing
J00059,Journal of Cancer Research and Therapeutics,0973-1482,65,1.079,BioMed Central
J00060,Cancer Research and Treatment,1598-2998,82,2.163,Korean Cancer Association
J00061,Translational Lung Cancer Research,2218-6751,77,1.718,AME Publishing Company
J00062,Translational Cancer Research,2218-676X,47,1.245,AME Publishing Company
J00063,Chinese Journal of Cancer Research,1000-9604,59,3.897,AME Publishing Company
J00064,Cancer Immunology Research,2326-6066,167,1.576,American Association for Cancer Research
J00065,Cancer Prevention Research,1940-6207,129,2.125,American Association for Cancer Research
J00066,Cancer Management and Research,1179-1322,90,1.377,Dove Medical Press
J00067,Cancer Research Communications,2767-9764,28,3.538,American Association for Cancer Research
J00068,Cancer Research Statistics and Treatment,2590-3225,28,1.005,Medknow
J00069,The Journal of Cancer Research,0099-7013,22,0.0,American Association for Cancer Research
J00070,Oncology Research Featuring Preclinical and Clinical Cancer Therapeutics,0965-0407,67,1.805,Cognizant Communication Corporation
J00071,American Journal of Cancer Research,2156-6976,14,2.18,e-Century Publishing Corporation
J00072,Anticancer Research,0250-7005,76,1.271,"International Institute of Anticancer Research (IIAR) Conferences 1997. Athens, Greece. Abstracts"
J00073,International Journal of Cancer Research,1811-9727,20,0.0,
J00074,Journal of Cancer Research and Practice,2311-3006,13,0.328,Medknow
J00075,Applied cancer research/Applied Cancer Research,1808-5512,14,0.0,Springer Science+Business Media
J00076,Translational Breast Cancer Research,2218-6778,13,2.943,AME Publishing Company
J00077,Archives in Cancer Research,2254-6081,12,0.0,OMICS Publishing Group
J00078,Cancer Treatment and Research Communications,2468-2942,36,1.305,Elsevier BV
J00079,Annals of Cancer Research and Therapy,1344-6835,10,0.429,
J00080,Advances in Breast Cancer Research,2168-1589,15,0.789,Scientific Research Publishing
J00081,Breast Cancer Basic and Clinical Research,1178-2234,45,1.76,SAGE Publishing
J00082,Clinical Oncology and Cancer Research,1674-5361,8,0.0,Springer Nature
J00083,Gann monograph on cancer research,0072-0151,13,0.0,Springer Nature
J00084,Journal of Cancer Research & Therapy,2052-4994,11,0.0,NobleResearch Publishers
J00085,Journal of Obstetrics Gynecology and Cancer Research,2476-5848,9,0.459,
J00086,Cancer Research Frontiers,2328-5249,11,0.0,Frontiers Media
J00087,Cancer Research Journal,2330-8192,10,0.136,Science Publishing Group
J00088,Journal of cancer research updates,1929-2260,12,0.311,
J00089,Journal of Radiation and Cancer Research,2468-9203,13,0.108,Medknow
J00090,Journal of Cancer Research,2314-6915,9,0.0,Hindawi Publishing Corporation
J00091,Interdisciplinary cancer research,2731-4561,5,0.509,
J00092,Proceedings of the American Association for Cancer Research,0569-2261,9,0.0,
J00093,International Journal of Cancer Research and Molecular Mechanisms,2381-3318,8,0.0,
J00094,Basic & Clinical Cancer Research,2228-5466,6,0.158,Knowledge E
J00095,Journal of Cancer Stem Cell Research,2329-5872,10,0.0,
J00096,Cancer Research and Cellular Therapeutics,2640-1053,3,0.091,
J00097,International Journal of Cancer Research & Therapy,2476-2377,6,0.062,
J00098,Journal of Cancer Prevention & Current Research,2373-633X,11,0.184,MedCrave Group
J00099,Seminars in Cancer Biology,1044-579X,223,6.869,Elsevier BV
J00100,Cancer Biology & Therapy,1538-4047,151,5.584,Taylor & Francis
J00101,Cancer Biology and Medicine,2095-3941,68,4.527,Chinese Anti-Cancer Association
J00102,Annual Review of Cancer Biology,2472-3428,50,2.896,Annual Reviews
J00103,Advances in Cancer Biology - Metastasis,2667-3940,21,2.508,Elsevier BV
J00104,Asian Pacific Journal of Cancer Biology,2538-4635,14,1.366,West Asia Organization for Cancer Prevention
J00105,Acta Scientific Cancer Biology,2582-4473,5,0.357,
J00106,Journal of Cancer Biology,2692-7896,6,0.727,
J00107,Cancer Biology & Treatment,2470-7546,4,0.0,
J00108,Journal of Cancer Biology and Therapeutics,2379-5972,4,0.0,
J00109,Archives of Cancer Biology and Therapy,2692-8302,3,0.0,
J00110,Clinical Oncology and Cancer Biology,2733-2276,1,0.0,
J00111,Journal of Cancer Biology & Research,2373-9436,1,0.2,
J00112,American Society of Clinical Oncology Educational Book,1548-8748,86,7.729,American Society of Clinical Oncology
J00113,Molecular and Clinical Oncology,2049-9450,55,1.924,Spandidos Publishing
J00114,Asia-Pacific Journal of Clinical Oncology,1743-7555,54,0.796,Wiley
J00115,World Journal of Clinical Oncology,2218-4333,70,1.57,Baishideng Publishing Group
J00116,Chinese Clinical Oncology,2304-3865,45,0.889,AME Publishing Company
J00117,Clinical journal of oncology nursing,1092-1095,69,0.366,Oncology Nursing Society
J00118,Nature Clinical Practice Oncology,1743-4254,89,0.0,Nature Portfolio
J00119,The Chinese-German Journal of Clinical Oncology,1610-1979,14,0.0,Springer Nature
J00120,Clinical and Translational Radiation Oncology,2405-6308,46,1.885,Elsevier BV
J00121,Clinical Medicine Insights Oncology,1179-5549,41,2.234,SAGE Publishing
J00122,Cancer and Clinical Oncology,1927-4858,14,0.0,Canadian Center of Science and Education
J00123,Korean Journal of Clinical Oncology,1738-8082,10,0.875,
J00124,Neoplasma,0028-2685,58,1.842,AEPress
J00125,Chinese Journal of Clinical Oncology,1672-7118,9,0.0,Springer Nature
J00126,JCO Precision Oncology,2473-4284,72,2.572,Lippincott Williams & Wilkins
J00127,Clinical Oncology and Research,2613-4942,8,0.0,
J00128,Clinical Oncology in Adolescents and Young Adults,2230-2263,10,0.0,Dove Medical Press
J00129,Forum of Clinical Oncology,1792-345X,7,0.167,De Gruyter Open
J00130,JCO Clinical Cancer Informatics,2473-4276,54,2.042,Lippincott Williams & Wilkins
J00131,Clinical medicine Oncology,1177-9314,20,0.0,SAGE Publishing
J00132,Oncology in Clinical Practice,2450-1654,12,0.329,
J00133,Journal of Clinical & Experimental Oncology,2324-9110,12,0.0,OMICS Publishing Group
J00134,Clinical Oncology,2410-2792,3,0.049,
J00135,International Journal of Clinical Oncology and Cancer Research,2578-9503,5,0.088,Science Publishing Group
J00136,International Journal of Medical Physics Clinical Engineering and Radiation Oncology,2168-5436,17,0.3,Scientific Research Publishing
J00137,The Journal of Clinical Oncology,3064-7002,1,8.5,
J00138,Annals of Clinical Oncology,2674-3248,4,0.0,
J00139,Journal of Cancer Science and Clinical Oncology,2394-6520,4,0.0,
J00140,Clinical Oncology Letters,2447-8989,3,0.0,
J00141,Journal of clinical oncology and cancer research.,3065-6729,2,0.0,
J00142,Clinical oncology,0305-7399,1,0.0,
J00143,Clinical Oncology Research and Reports,2693-4787,2,0.0,
J00144,Annals of Medical and Clinical Oncology,2833-3497,2,0.5,
J00145,JTO Clinical and Research Reports,2666-3643,32,1.472,Elsevier BV
J00146,Journal of Clinical Oncology Reports,2836-5062,2,0.0,
J00147,Clinical Surgical Oncology,2773-160X,5,0.46,Elsevier BV
J00148,Journal of Neoplasm,2576-3903,5,0.0,
J00149,Новообразование,2307-1575,3,0.0,
J00150,Tumor Biology,1010-4283,121,2.588,SAGE Publishing
J00151,Brain Tumor Pathology,1433-7398,54,0.86,Springer Science+Business Media
J00152,Brain Tumor Research and Treatment,2288-2405,28,1.561,
J00153,Medical Oncology and Tumor Pharmacotherapy,0736-0118,29,0.0,Humana Press
J00154,Exploration of Targeted Anti-tumor Therapy,2692-3114,23,3.95,
J00155,Journal of Tumor,1819-6187,7,0.0,
J00156,Journal of Cancer and Tumor International,2454-7360,8,0.35,Sciencedomain International
J00157,Tumor targeting,1351-8488,6,0.0,
J00158,Tumor Discovery,2810-9775,5,0.272,
J00159,Tumor Research,0041-4093,5,0.0,
J00160,Tumor and Microenvironment,2395-7182,4,0.0,Medknow
J00161,Journal of tumor marker oncology,0886-3849,7,0.0,
J00162,Gastrointestinal Stromal Tumor,2663-1911,5,0.0,AME Publishing Company
J00163,Journal of Tumor Medicine & Prevention,2575-890X,5,0.091,
J00164,Journal of Tumor Research,2684-1258,4,0.0,OMICS Publishing Group
J00165,Tumor Microenvironment and Therapy,2299-1123,5,0.0,
J00166,The Cancer bulletin of the University of Texas M.D. Anderson Hospital and Tumor Institute at Houston,0740-820X,6,0.0,
J00167,International Journal of Tumor Therapy,2163-2189,5,0.0,
J00168,Advances in Tumor Virology,1179-5654,5,0.0,Libertas Academica
J00169,Research In Cancer and Tumor,2475-2150,4,0.0,
J00170,The Journal of the Korean Bone and Joint Tumor Society,1226-4962,3,0.0,
J00171,Journal of Tumor Science Research,2755-984X,1,0.1,
J00172,Journal of Brain Tumors & Neurooncology,2475-3203,4,0.0,OMICS Publishing Group
J00173,International Journal of Tumor Research,3070-3948,0,0.0,
J00174,Journal of Cancer and Tumor Research,3068-4137,0,0.0,
J00175,Journal of immunotherapy with emphasis on tumor immunology,1067-5582,0,0.0,
J00176,Carcinogenesis,0143-3334,260,2.065,Oxford University Press
J00177,Molecular Carcinogenesis,0899-1987,126,2.509,Wiley
J00178,Teratogenesis Carcinogenesis and Mutagenesis,0270-3211,62,0.0,
J00179,Journal of Carcinogenesis,0974-6773,50,0.003,Medknow
J00180,Journal of Carcinogenesis & Mutagenesis,2157-2518,25,0.0,OMICS Publishing Group
J00181,Environmental Carcinogenesis Reviews,0882-8164,13,0.0,
J00182,Journal of Environmental Science and Health Part C,1059-0501,68,0.0,Taylor & Francis
J00183,Journal of Environmental Science and Health Part C Environmental Carcinogenesis Reviews,0736-3001,9,0.0,Taylor & Francis
J00184,Journal of Environmental Science and Health Part C,2689-6583,18,5.062,Taylor & Francis
J00185,Carcinogenesis. A comprehensive survey,0147-4006,1,0.0,
J00186,Carcinogenesis and Chemotherapy,2835-9216,1,0.125,
J00187,National Cancer Institute carcinogenesis technical report series,0163-7185,0,0.0,
J00188,Leukemia,0887-6924,256,5.35,Springer Nature
J00189,Leukemia & lymphoma/Leukemia and lymphoma,1026-8022,117,1.277,Taylor & Francis
J00190,Leukemia Research,0145-2126,118,0.75,Elsevier BV
J00191,Clinical Lymphoma Myeloma & Leukemia,2152-2650,65,0.245,Elsevier BV
J00192,Leukemia Research Reports,2213-0489,20,0.312,Elsevier BV
J00193,Leukemia Research and Treatment,2090-3219,20,0.0,Hindawi Publishing Corporation
J00194,Journal of Leukemia,2329-6917,11,0.0,OMICS Publishing Group
J00195,Clinical Leukemia,1931-6925,8,0.0,CIG Media Group
J00196,Leukemia Supplements,2044-5210,8,0.0,Springer Nature
J00197,Hematology and Leukemia,2052-434X,4,0.0,Herbert Publications
J00198,The Open Leukemia Journal,1876-8164,5,0.0,
J00199,Baixuebing linbaliu,1009-9921,3,0.0,Chinese Medical Journals Publishing House
J00200,Advances in Leukemia Research and Treatment,2689-8853,1,0.0,
J00201,Journal of leukemia research.,2831-3186,0,0.0,
J00202,Clinical Breast Cancer,1526-8209,96,1.807,Elsevier BV
J00203,Breast Cancer,1340-6868,82,2.486,Springer Science+Business Media
J00204,npj Breast Cancer,2374-4677,75,4.792,Nature Portfolio
J00205,Journal of Breast Cancer,1738-6756,61,1.477,
J00206,Breast Cancer Targets and Therapy,1179-1314,53,1.48,Dove Medical Press
J00207,International Journal of Breast Cancer,2090-3170,47,1.5,Hindawi Publishing Corporation
J00208,Current Breast Cancer Reports,1943-4588,30,0.857,Springer Science+Business Media
J00209,Breast Cancer Management,1758-1923,18,0.0,Future Medicine
J00210,Archives of Breast Cancer,2383-0425,9,0.349,Kaviani Breast Disease Institute
J00211,Breast Cancer Online,1470-9031,9,0.0,Cambridge University Press
J00212,Journal of Korean Breast Cancer Society,1598-3641,7,0.0,
J00213,Nihon Nyugan Kenshin Gakkaishi (Journal of Japan Association of Breast Cancer Screening),0918-0729,8,0.027,
J00214,The Open Breast Cancer Journal,1876-8172,8,0.0,Bentham Science Publishers
J00215,Breast Cancer Current Research,2572-4118,4,0.0,OMICS Publishing Group
J00216,Annals of Breast Cancer and Therapy,2578-6512,2,0.0,
J00217,Journal of Breast Cancer Research,2769-2418,2,0.176,
J00218,Global Journal of Breast Cancer Research,2309-4419,2,0.0,
J00219,Annals of Breast Cancer,2640-8198,2,0.0,
J00220,Breast Cancer Reports,2057-1631,1,0.0,Herbert Publications
J00221,Journal of young women's breast cancer and health.,3050-7162,2,0.391,Medknow
J00222,Journal of Breast Cancer Research and Advancements,2638-3527,1,0.0,
J00223,Journal of clinical breast cancer.,2996-1262,1,0.0,
J00224,Annals of breast cancer research.,2641-7685,1,1.0,
J00225,World Journal of Breast Cancer Research,2644-0334,1,0.0,
J00226,Lung Cancer,0169-5002,184,1.223,Elsevier BV
J00227,Clinical Lung Cancer,1525-7304,91,1.721,Elsevier BV
J00228,Lung Cancer Targets and Therapy,1179-2728,35,2.105,Dove Medical Press
