PaperID,BiomarkerID,DrugID,GeneSymbol,DrugName,QueryTier,QueryString
32023884,BM00014,D00107,A1BG,"GR 125,743",T3,"(""A1BG"" OR ""Alpha-1B-glycoprotein"")[Title/Abstract] AND ""inhibitor""[Title/Abstract] AND cancer[Title/Abstract]"
23579209,BM00014,D00107,A1BG,"GR 125,743",T3,"(""A1BG"" OR ""Alpha-1B-glycoprotein"")[Title/Abstract] AND ""inhibitor""[Title/Abstract] AND cancer[Title/Abstract]"
23880232,BM00014,D00107,A1BG,"GR 125,743",T3,"(""A1BG"" OR ""Alpha-1B-glycoprotein"")[Title/Abstract] AND ""inhibitor""[Title/Abstract] AND cancer[Title/Abstract]"
25821032,BM00014,D00183,A1BG,OLANZAPINE,T2,"(""A1BG"" OR ""Alpha-1B-glycoprotein"")[Title/Abstract] AND ""OLANZAPINE""[Title/Abstract]"
38007504,BM00014,D00106,A1BG,NARATRIPTAN,T5,"(breast cancer)[Title/Abstract] AND (""A1BG"" OR ""Alpha-1B-glycoprotein"")[Title/Abstract] AND (""drug"" OR ""therapy"" OR ""inhibitor"" OR ""treatment"")[Title/Abstract]"
34115333,BM00014,D00106,A1BG,NARATRIPTAN,T5,"(breast cancer)[Title/Abstract] AND (""A1BG"" OR ""Alpha-1B-glycoprotein"")[Title/Abstract] AND (""drug"" OR ""therapy"" OR ""inhibitor"" OR ""treatment"")[Title/Abstract]"
34626309,BM00014,D00106,A1BG,NARATRIPTAN,T5,"(breast cancer)[Title/Abstract] AND (""A1BG"" OR ""Alpha-1B-glycoprotein"")[Title/Abstract] AND (""drug"" OR ""therapy"" OR ""inhibitor"" OR ""treatment"")[Title/Abstract]"
33160384,BM00014,D00106,A1BG,NARATRIPTAN,T5,"(breast cancer)[Title/Abstract] AND (""A1BG"" OR ""Alpha-1B-glycoprotein"")[Title/Abstract] AND (""drug"" OR ""therapy"" OR ""inhibitor"" OR ""treatment"")[Title/Abstract]"
21513341,BM00014,D00106,A1BG,NARATRIPTAN,T5,"(breast cancer)[Title/Abstract] AND (""A1BG"" OR ""Alpha-1B-glycoprotein"")[Title/Abstract] AND (""drug"" OR ""therapy"" OR ""inhibitor"" OR ""treatment"")[Title/Abstract]"
41600199,BM00014,D00106,A1BG,NARATRIPTAN,T5,"(breast cancer)[Title/Abstract] AND (""A1BG"" OR ""Alpha-1B-glycoprotein"")[Title/Abstract] AND (""drug"" OR ""therapy"" OR ""inhibitor"" OR ""treatment"")[Title/Abstract]"
21541040,BM00014,D00106,A1BG,NARATRIPTAN,T5,"(breast cancer)[Title/Abstract] AND (""A1BG"" OR ""Alpha-1B-glycoprotein"")[Title/Abstract] AND (""drug"" OR ""therapy"" OR ""inhibitor"" OR ""treatment"")[Title/Abstract]"
17145889,BM00015,D00217,A2M,SB 216641,T3,"(""A2M"" OR ""CPAMD5"" OR ""Alpha-2-macroglobulin"")[Title/Abstract] AND ""agonist""[Title/Abstract] AND cancer[Title/Abstract]"
22173835,BM00015,D00217,A2M,SB 216641,T3,"(""A2M"" OR ""CPAMD5"" OR ""Alpha-2-macroglobulin"")[Title/Abstract] AND ""agonist""[Title/Abstract] AND cancer[Title/Abstract]"
38160662,BM00015,D00125,A2M,SERTINDOLE,T3,"(""A2M"" OR ""CPAMD5"" OR ""Alpha-2-macroglobulin"")[Title/Abstract] AND ""inhibitor""[Title/Abstract] AND cancer[Title/Abstract]"
29659051,BM00015,D00125,A2M,SERTINDOLE,T3,"(""A2M"" OR ""CPAMD5"" OR ""Alpha-2-macroglobulin"")[Title/Abstract] AND ""inhibitor""[Title/Abstract] AND cancer[Title/Abstract]"
25400428,BM00015,D00125,A2M,SERTINDOLE,T3,"(""A2M"" OR ""CPAMD5"" OR ""Alpha-2-macroglobulin"")[Title/Abstract] AND ""inhibitor""[Title/Abstract] AND cancer[Title/Abstract]"
40740229,BM00015,D00125,A2M,SERTINDOLE,T3,"(""A2M"" OR ""CPAMD5"" OR ""Alpha-2-macroglobulin"")[Title/Abstract] AND ""inhibitor""[Title/Abstract] AND cancer[Title/Abstract]"
29751037,BM00015,D00125,A2M,SERTINDOLE,T3,"(""A2M"" OR ""CPAMD5"" OR ""Alpha-2-macroglobulin"")[Title/Abstract] AND ""inhibitor""[Title/Abstract] AND cancer[Title/Abstract]"
28969563,BM00015,D00125,A2M,SERTINDOLE,T3,"(""A2M"" OR ""CPAMD5"" OR ""Alpha-2-macroglobulin"")[Title/Abstract] AND ""inhibitor""[Title/Abstract] AND cancer[Title/Abstract]"
34139236,BM00015,D00125,A2M,SERTINDOLE,T3,"(""A2M"" OR ""CPAMD5"" OR ""Alpha-2-macroglobulin"")[Title/Abstract] AND ""inhibitor""[Title/Abstract] AND cancer[Title/Abstract]"
38198944,BM00015,D00125,A2M,SERTINDOLE,T3,"(""A2M"" OR ""CPAMD5"" OR ""Alpha-2-macroglobulin"")[Title/Abstract] AND ""inhibitor""[Title/Abstract] AND cancer[Title/Abstract]"
38754659,BM00015,D00125,A2M,SERTINDOLE,T3,"(""A2M"" OR ""CPAMD5"" OR ""Alpha-2-macroglobulin"")[Title/Abstract] AND ""inhibitor""[Title/Abstract] AND cancer[Title/Abstract]"
8856154,BM00015,D00125,A2M,SERTINDOLE,T3,"(""A2M"" OR ""CPAMD5"" OR ""Alpha-2-macroglobulin"")[Title/Abstract] AND ""inhibitor""[Title/Abstract] AND cancer[Title/Abstract]"
17967834,BM00015,D00125,A2M,SERTINDOLE,T3,"(""A2M"" OR ""CPAMD5"" OR ""Alpha-2-macroglobulin"")[Title/Abstract] AND ""inhibitor""[Title/Abstract] AND cancer[Title/Abstract]"
31824660,BM00015,D00125,A2M,SERTINDOLE,T3,"(""A2M"" OR ""CPAMD5"" OR ""Alpha-2-macroglobulin"")[Title/Abstract] AND ""inhibitor""[Title/Abstract] AND cancer[Title/Abstract]"
39413460,BM00015,D00125,A2M,SERTINDOLE,T3,"(""A2M"" OR ""CPAMD5"" OR ""Alpha-2-macroglobulin"")[Title/Abstract] AND ""inhibitor""[Title/Abstract] AND cancer[Title/Abstract]"
31047928,BM00015,D00125,A2M,SERTINDOLE,T3,"(""A2M"" OR ""CPAMD5"" OR ""Alpha-2-macroglobulin"")[Title/Abstract] AND ""inhibitor""[Title/Abstract] AND cancer[Title/Abstract]"
20107526,BM00015,D00125,A2M,SERTINDOLE,T3,"(""A2M"" OR ""CPAMD5"" OR ""Alpha-2-macroglobulin"")[Title/Abstract] AND ""inhibitor""[Title/Abstract] AND cancer[Title/Abstract]"
40148390,BM00015,D00172,A2M,CABERGOLINE,T1,"""A2M""[Title/Abstract] AND ""CABERGOLINE""[Title/Abstract]"
3732211,BM00015,D00319,A2M,COBALT,T1,"""A2M""[Title/Abstract] AND ""COBALT""[Title/Abstract]"
6663071,BM00015,D00319,A2M,COBALT,T1,"""A2M""[Title/Abstract] AND ""COBALT""[Title/Abstract]"
32149567,BM00015,D00319,A2M,COBALT,T1,"""A2M""[Title/Abstract] AND ""COBALT""[Title/Abstract]"
30867955,BM00015,D00319,A2M,COBALT,T2,"(""A2M"" OR ""CPAMD5"" OR ""Alpha-2-macroglobulin"")[Title/Abstract] AND ""COBALT""[Title/Abstract]"
35233005,BM00015,D00319,A2M,COBALT,T2,"(""A2M"" OR ""CPAMD5"" OR ""Alpha-2-macroglobulin"")[Title/Abstract] AND ""COBALT""[Title/Abstract]"
36141729,BM00015,D00319,A2M,COBALT,T2,"(""A2M"" OR ""CPAMD5"" OR ""Alpha-2-macroglobulin"")[Title/Abstract] AND ""COBALT""[Title/Abstract]"
35411854,BM00015,D00319,A2M,COBALT,T2,"(""A2M"" OR ""CPAMD5"" OR ""Alpha-2-macroglobulin"")[Title/Abstract] AND ""COBALT""[Title/Abstract]"
