PaperID,TraditionalLabel,TraditionalConfidence,AuditLabel,MismatchFlag,AuditRationale,EvidenceSentences
41367714,supportive,0.999998,supportive,0,"supportive=2, opposing=0, neutral=0; dominant=supportive","In plasma, multiple inhibitors including AT, heparin cofactor II (HCII), α2-macroglobulin (A2M), and α1-proteinase inhibitor (A1PI) play a role in thrombin inhibition. || Thrombin inhibition was measured at varied concentrations of AT with and without A2M, HCII, and A1PI. || Reducing AT to 0 from plasma levels in the presence HCII, A2M, and A1PI, results in slower thrombin inhibition with the time required to inhibit half the thrombin increasing approximately fourfold."
2473541,neutral,0.999999,opposing,1,"supportive=0, opposing=1, neutral=0; dominant=opposing","APC failed to bind and form the classic proteinase-a2M complex as seen with similar serine proteases, thrombin and trypsin."
17415208,neutral,0.999999,neutral,0,"supportive=0, opposing=0, neutral=1; dominant=neutral",OBJECTIVE: ABCA2 is a member of the adenosine triphosphate-binding cassette transporter superfamily and is proposed to exert critical functions in the transmembrane transport of endogenous lipids such as myelin.
1382827,supportive,0.997095,unclear,0,No evidence sentence available.,
7506867,opposing,0.600140,unclear,0,No evidence sentence available.,
1701323,neutral,0.999999,neutral,0,"supportive=0, opposing=0, neutral=1; dominant=neutral",The occurrence of fetomaternal haemorrhage was investigated in 30 women by measuring maternal serum alphafetoprotein (AFP) levels before and after the administration of mifepristone (RU 486) for termination of first trimester pregnancy.
27888684,supportive,0.999978,unclear,0,No evidence sentence available.,
2443931,opposing,0.999999,unclear,0,No evidence sentence available.,
6179592,supportive,0.998644,supportive,0,"supportive=1, opposing=0, neutral=0; dominant=supportive","After modified VAC chemotherapy (vincristine, dactinomycin, and cyclophosphamide), AFP and HCG levels in the serum were reduced significantly, while serum CEA increased gradually to the level of 6.5 ng/ml."
34016022,neutral,0.999989,unclear,0,No evidence sentence available.,
23901798,opposing,0.999867,neutral,1,"supportive=0, opposing=1, neutral=2; dominant=neutral",BACKGROUND: To evaluate the effect of low-dose aspirin in prevention of adverse pregnancy outcomes (APO) in women with second trimester alpha-fetoprotein (AFP) >2.5 multiple of median (MOM) and to compare aspirin effect on women with normal and abnormal uterine artery (UtA) Doppler. || BACKGROUND: To evaluate the effect of low-dose aspirin in prevention of adverse pregnancy outcomes (APO) in women with second trimester alpha-fetoprotein (AFP) >2.5 multiple of median (MOM) and to compare aspirin effect on women with normal and abnormal uterine artery (UtA) Doppler.
35936216,supportive,0.999985,supportive,0,"supportive=1, opposing=0, neutral=0; dominant=supportive","Quercetin, rutin, and their combination significantly improved the deteriorated serum AST, ALT, and ALP activities and total bilirubin level, as well as albumin, AFP, and CA 19.9 levels in DXR-injected rats."
7505047,opposing,1.000000,unclear,0,No evidence sentence available.,
16266458,supportive,0.999940,neutral,1,"supportive=0, opposing=0, neutral=3; dominant=neutral",OBJECTIVE: To investigate the association between M235T variant of angiotensinogen (AGT) gene and the blood pressure response to benazepril in a hypertensive cohort. || OBJECTIVE: To investigate the association between M235T variant of angiotensinogen (AGT) gene and the blood pressure response to benazepril in a hypertensive cohort.
21449848,neutral,0.983182,neutral,0,"supportive=0, opposing=0, neutral=1; dominant=neutral","CONCLUSION: Gender-specific gene-gene interactions of the AGT, AGTR1 and ACE2 genes were associated with individual variation of response to benazepril. || CONCLUSION: Gender-specific gene-gene interactions of the AGT, AGTR1 and ACE2 genes were associated with individual variation of response to benazepril."
17261659,neutral,1.000000,neutral,0,"supportive=0, opposing=0, neutral=1; dominant=neutral","The AGT rs7079 (C/T) SNP (3'-untranslated region) was significantly associated with the response of diastolic BP to benazepril (diastolic BP response: -7.4 mm Hg for subjects with the CC genotype, -8.9 mm Hg for CA, and -10.1 mm Hg for AA; P=0.001). || The AGT rs7079 (C/T) SNP (3'-untranslated region) was significantly associated with the response of diastolic BP to benazepril (diastolic BP response: -7.4 mm Hg for subjects with the CC genotype, -8.9 mm Hg for CA, and -10.1 mm Hg for AA; P=0.001)."
20559404,neutral,0.999999,neutral,0,"supportive=0, opposing=0, neutral=2; dominant=neutral","OBJECTIVE: To explore the correlation of rs2106809 from angiotensin-converting enzyme 2 gene with antihypertensive effects of benazepril, as well as its interactions with polymorphisms of angiotensinogen(AGT) and angiotensin II type 1 receptor(AGTR1) gene."
11849656,supportive,0.999977,supportive,0,"supportive=2, opposing=0, neutral=0; dominant=supportive","According to quinapril treatment, the AGT T homozygotes significantly showed a beneficial effect of quinapril on MLD (P=0.013) and late lumen loss (P=0.013). || In conclusion, the AGT T homozygotes might benefit from effects of quinapril on preventing restenosis after PCI."
2782902,opposing,1.000000,unclear,0,No evidence sentence available.,
40750772,opposing,1.000000,opposing,0,"supportive=0, opposing=1, neutral=0; dominant=opposing","In terms of overcoming resistance, the AKR1B1 inhibitor epalrestat significantly mitigated drug resistance when it was used in combination with standard therapies."
32761301,opposing,1.000000,unclear,0,Conflicting cues with no dominant stance signal.,"In summary, epalrestat inhibits the progression of cervical cancer by inhibiting AKR1B1, and thus may be a new drug for the clinical treatment of cervical cancer."
37257577,neutral,0.999933,neutral,0,"supportive=0, opposing=0, neutral=1; dominant=neutral","Hence, in the present study we have evaluated the cardioprotective effect of AKR1B1 (or aldose reductase, AR) inhibitor NARI-29 (epalrestat (EPS) analogue) and its effect in the Dox-modulated calcium/CaMKII/MuRF1 axis."
38283757,supportive,0.999622,supportive,0,"supportive=1, opposing=0, neutral=0; dominant=supportive",AKR1B1 inhibition with epalrestat or NARI-29 inhibited cellular metabolism in in vitro and in vivo models.
