Label,Token,PMI,TokenSegmentCount,LabelSegmentCount,TokenLabelCount,IDF
supportive,inhibition,2.042582,542,3964,542,4.026420
supportive,beneficial,2.042582,19,3964,19,7.259199
supportive,sensitive,2.042582,102,3964,102,5.629958
supportive,synergistic,2.042582,64,3964,64,6.127797
supportive,favorable,2.042582,27,3964,27,6.922727
supportive,reduced,2.042582,74,3964,74,5.992251
supportive,effective,2.042582,158,3964,158,5.217979
supportive,promising,2.042582,112,3964,112,5.536432
supportive,cost-effective,2.042582,6,3964,6,8.645493
supportive,decreased,2.042582,44,3964,44,6.470742
supportive,enhanced,2.042582,38,3964,38,6.644013
supportive,suppressed,2.042582,10,3964,10,7.857036
supportive,improved,2.042582,23,3964,23,7.119437
supportive,sensitivity,2.036564,240,3964,239,4.917393
supportive,response,1.849639,519,3964,454,4.119366
supportive,oligonucleotides,1.828457,7,3964,6,8.175490
supportive,benefit,1.819063,160,3964,137,5.224493
supportive,improvement,1.804070,26,3964,22,6.959094
supportive,co-occurring,1.791043,6,3964,5,8.309021
supportive,d1,1.760182,11,3964,9,7.770025
supportive,halt,1.737727,5,3964,4,8.645493
supportive,dose-dependently,1.737727,5,3964,4,8.463172
supportive,cdk7/9,1.737727,5,3964,4,8.868637
supportive,likelihood,1.737727,5,3964,4,8.463172
supportive,weaken,1.737727,5,3964,4,8.463172
supportive,dutogliptin,1.737727,5,3964,4,8.868637
supportive,lethal,1.737727,5,3964,4,8.463172
supportive,lethality,1.737727,5,3964,4,8.463172
supportive,nf-kappab,1.737727,5,3964,4,8.868637
supportive,plx4720,1.729424,10,3964,8,7.952346
supportive,sb590885,1.691109,9,3964,7,8.057707
supportive,well-tolerated,1.672213,13,3964,10,7.615874
supportive,suggesting,1.642044,8,3964,6,8.057707
supportive,gsk591,1.642044,8,3964,6,8.057707
supportive,remarkably,1.637325,12,3964,9,7.689982
supportive,reduce,1.612557,411,3964,305,4.306896
supportive,render,1.603697,15,3964,11,7.482343
supportive,promise,1.591597,37,3964,27,6.617345
supportive,cyclin,1.580678,18,3964,13,7.310492
supportive,os,1.576918,7,3964,5,8.309021
supportive,subtypes,1.576918,7,3964,5,8.175490
supportive,bromperidol,1.576918,7,3964,5,8.868637
supportive,erlotinib-resistant,1.576918,7,3964,5,8.309021
supportive,ng/ml,1.576918,7,3964,5,8.175490
supportive,trh,1.576918,7,3964,5,8.175490
supportive,imgatuzumab,1.543011,10,3964,7,8.645493
supportive,elisidepsin,1.543011,10,3964,7,8.868637
supportive,suppress,1.522803,208,3964,145,4.987073
supportive,dramatically,1.512067,16,3964,11,7.421718
supportive,improve,1.486188,156,3964,106,5.231051
supportive,bacterial,1.486188,6,3964,4,8.309021
supportive,min/+,1.486188,6,3964,4,8.868637
supportive,connect,1.486188,6,3964,4,8.645493
supportive,coincide,1.486188,6,3964,4,8.309021
supportive,correlative,1.486188,6,3964,4,8.309021
supportive,transformation,1.486188,6,3964,4,8.309021
supportive,cerebrospinal,1.486188,6,3964,4,8.309021
supportive,radiosensitivity,1.486188,6,3964,4,8.463172
supportive,spheroid,1.486188,6,3964,4,8.463172
supportive,dfs,1.486188,6,3964,4,8.645493
supportive,ttp,1.486188,6,3964,4,8.309021
supportive,kras-variant,1.486188,6,3964,4,9.156319
supportive,pten-null,1.486188,6,3964,4,8.463172
supportive,caspase,1.476984,9,3964,6,7.952346
supportive,hif-1,1.472266,12,3964,8,7.857036
supportive,irrespective,1.467467,18,3964,12,7.310492
supportive,respond,1.444444,41,3964,27,6.566052
supportive,decrease,1.442477,323,3964,213,4.528084
supportive,catenin,1.408710,11,3964,7,7.770025
supportive,enhance,1.400874,178,3964,114,5.113268
supportive,indicator,1.390505,8,3964,5,8.057707
supportive,tamoxifen-resistant,1.390505,8,3964,5,8.463172
supportive,survivin,1.390505,8,3964,5,8.309021
supportive,hspb1,1.390505,8,3964,5,8.645493
supportive,nafamostat,1.390505,8,3964,5,8.868637
supportive,taselisib,1.361111,21,3964,13,7.689982
supportive,platinum,1.359055,13,3964,8,7.689982
supportive,mb,1.350704,5,3964,3,8.463172
supportive,alt,1.350704,5,3964,3,8.463172
supportive,ko,1.350704,5,3964,3,8.463172
supportive,hr-positive,1.350704,5,3964,3,8.645493
supportive,anti-apoptotic,1.350704,5,3964,3,8.463172
supportive,drug-resistant,1.350704,5,3964,3,8.463172
supportive,basolateral,1.350704,5,3964,3,8.463172
supportive,apoe-,1.350704,5,3964,3,9.156319
supportive,arise,1.350704,5,3964,3,8.463172
supportive,notch,1.350704,5,3964,3,8.463172
supportive,tipifarnib,1.350704,5,3964,3,8.463172
supportive,pk/pd,1.350704,5,3964,3,8.645493
supportive,place,1.350704,5,3964,3,8.463172
supportive,immediate,1.350704,5,3964,3,8.463172
supportive,nevertheless,1.350704,5,3964,3,8.463172
supportive,low-density,1.350704,5,3964,3,8.463172
supportive,csnk2a1,1.350704,5,3964,3,8.645493
supportive,silmitasertib,1.350704,5,3964,3,8.645493
supportive,keratinocytes,1.350704,5,3964,3,8.463172
supportive,mixed,1.350704,5,3964,3,8.463172
supportive,egfr-met,1.350704,5,3964,3,8.463172
supportive,multi-target,1.350704,5,3964,3,8.645493
supportive,indicating,1.350704,5,3964,3,8.463172
supportive,wee1,1.350704,5,3964,3,8.645493
supportive,homologue,1.350704,5,3964,3,8.645493
supportive,sirna-mediated,1.350704,5,3964,3,8.463172
supportive,inavolisib,1.350704,5,3964,3,8.868637
supportive,glycolysis,1.350704,5,3964,3,8.463172
supportive,tf,1.350704,5,3964,3,8.645493
supportive,fludarabine,1.350704,5,3964,3,8.868637
supportive,mitotic,1.350704,5,3964,3,8.645493
supportive,shr,1.350704,5,3964,3,8.868637
supportive,multimeric,1.350704,5,3964,3,8.868637
supportive,element,1.328886,10,3964,6,7.857036
supportive,blunt,1.328886,10,3964,6,7.857036
supportive,egfr-amplified,1.328886,10,3964,6,8.175490
supportive,met-amplified,1.328886,10,3964,6,7.857036
supportive,nsc,1.285853,12,3964,7,7.952346
supportive,progression-free,1.273656,53,3964,31,6.265947
supportive,net,1.272063,7,3964,4,8.175490
supportive,translation,1.272063,7,3964,4,8.175490
supportive,probable,1.272063,7,3964,4,8.175490
supportive,az628,1.272063,7,3964,4,8.463172
opposing,imatinib-resistant,3.148944,16,1841,16,7.770025
opposing,adverse,3.148944,38,1841,38,6.671412
opposing,progression,3.148944,109,1841,109,5.610540
opposing,progression-free,3.148944,53,1841,53,6.265947
opposing,resistant,3.148944,103,1841,103,5.733143
opposing,drug-resistant,3.148944,5,1841,5,8.463172
opposing,limited,3.148944,23,1841,23,7.076877
opposing,ineffective,3.148944,9,1841,9,8.057707
opposing,overcame,3.148944,8,1841,8,8.057707
opposing,tamoxifen-resistant,3.148944,8,1841,8,8.463172
opposing,toxic,3.148944,15,1841,15,7.546881
opposing,contraindicate,3.148944,9,1841,9,7.952346
opposing,erlotinib-resistant,3.148944,7,1841,7,8.309021
opposing,egfr-independent,3.148944,5,1841,5,8.645493
opposing,osimertinib-resistant,3.148944,7,1841,7,8.309021
opposing,gefitinib-resistant,3.148944,9,1841,9,8.175490
opposing,cisplatin-resistant,3.148944,14,1841,14,7.689982
opposing,sorafenib-resistant,3.148944,7,1841,7,8.645493
opposing,resistance,3.146184,523,1841,522,4.243664
opposing,failure,3.085519,23,1841,22,7.076877
opposing,bad,3.014643,11,1841,10,7.857036
opposing,acquire,2.989036,76,1841,68,6.006436
opposing,lorlatinib,2.983885,9,1841,8,8.175490
opposing,overcome,2.977333,80,1841,71,5.937443
opposing,fail,2.975177,35,1841,31,6.671412
opposing,multidrug,2.897405,6,1841,5,8.309021
opposing,endometriosis,2.897405,6,1841,5,9.156319
opposing,rpsa,2.897405,6,1841,5,8.645493
opposing,hcc827,2.844089,5,1841,4,8.463172
opposing,circ,2.844089,5,1841,4,8.645493
opposing,emergence,2.748406,8,1841,6,8.057707
opposing,pyrazinamide,2.748406,8,1841,6,8.175490
opposing,limit,2.624523,26,1841,18,6.996835
opposing,upfront,2.592551,6,1841,4,8.463172
opposing,radiographic,2.592551,6,1841,4,8.463172
opposing,way,2.592551,6,1841,4,8.309021
opposing,c797s,2.592551,6,1841,4,8.309021
opposing,h1975,2.592551,6,1841,4,8.463172
opposing,egfr-dependent,2.583347,9,1841,6,8.057707
opposing,confer,2.547108,32,1841,21,6.789195
opposing,enzalutamide,2.515072,11,1841,7,8.175490
opposing,lirafugratinib,2.496867,8,1841,5,8.463172
opposing,halt,2.457066,5,1841,3,8.645493
opposing,degrader,2.457066,5,1841,3,8.463172
opposing,mrp1,2.457066,5,1841,3,8.463172
opposing,mlh1,2.392215,12,1841,7,7.857036
opposing,a549/ddp,2.378426,7,1841,4,9.156319
opposing,ras,2.378426,7,1841,4,8.175490
opposing,heterogeneous,2.378426,7,1841,4,8.175490
opposing,cabazitaxel,2.378426,7,1841,4,8.645493
opposing,emt,2.378426,7,1841,4,8.309021
opposing,atm,2.378426,7,1841,4,8.309021
opposing,egfr-targeting,2.378426,7,1841,4,8.175490
opposing,yes1,2.378426,7,1841,4,8.309021
opposing,endpoint,2.331808,9,1841,5,7.952346
opposing,frequent,2.331808,9,1841,5,7.952346
opposing,abivertinib,2.300947,11,1841,6,8.463172
opposing,sch772984,2.279005,13,1841,7,7.857036
opposing,event,2.205528,31,1841,16,6.922727
opposing,csk,2.205528,6,1841,3,8.868637
opposing,numerically,2.205528,6,1841,3,8.309021
opposing,signal-regulated,2.205528,6,1841,3,8.309021
opposing,gilteritinib,2.205528,6,1841,3,8.309021
opposing,met-tki,2.205528,6,1841,3,8.868637
opposing,dramatic,2.192013,8,1841,4,8.057707
opposing,low-grade,2.192013,8,1841,4,8.309021
opposing,chromosome,2.192013,8,1841,4,8.175490
opposing,naquotinib,2.192013,8,1841,4,8.309021
opposing,bypass,2.192013,8,1841,4,8.175490
opposing,cervical,2.183709,10,1841,5,8.175490
opposing,pik3ca/akt1/pten-altered,2.183709,10,1841,5,8.175490
opposing,entrectinib,2.183709,10,1841,5,8.057707
opposing,met-amplified,2.183709,10,1841,5,7.857036
opposing,adriamycin,2.178090,12,1841,6,7.857036
opposing,underlie,2.174035,14,1841,7,7.546881
opposing,drive,2.160085,32,1841,16,6.789195
opposing,render,2.076188,15,1841,7,7.482343
opposing,ros1,2.064880,13,1841,6,7.857036
opposing,contributes,2.064880,13,1841,6,7.615874
opposing,tensin,2.064880,13,1841,6,7.615874
opposing,futibatinib,2.049408,11,1841,5,8.057707
opposing,prove,2.049408,11,1841,5,7.770025
opposing,egfr-tkis,2.031761,35,1841,16,7.036055
opposing,combinatorial,2.026954,9,1841,4,7.952346
opposing,sufficient,2.026954,9,1841,4,7.952346
opposing,downregulating,2.026954,9,1841,4,7.952346
opposing,stemness,1.991403,7,1841,3,8.309021
