UniProtAccession,UniProtID,EntryType,GeneSymbol,GeneSynonyms,ProteinName,Function,DiseaseAssociations,SubcellularLocation,TissueSpecificity,PathwayAnnotation,Keywords,Domains,BindingSites,ActiveSites,AlphaFoldID,PDB_IDs,DrugBankIDs,ChEMBL_IDs,KEGG_IDs,ReactomePathways,SequenceLength,MolecularWeight,Organism
P27348,1433T_HUMAN,reviewed,YWHAQ,,14-3-3 protein theta,"Adapter protein implicated in the regulation of a large spectrum of both general and specialized signaling pathways. Binds to a large number of partners, usually by recognition of a phosphoserine or phosphothreonine motif. Binding generally results in the modulation of the activity of the binding partner. Negatively regulates the kinase activity of PDPK1",,Cytoplasm,"Abundantly expressed in brain, heart and pancreas, and at lower levels in kidney and placenta. Up-regulated in the lumbar spinal cord from patients with sporadic amyotrophic lateral sclerosis (ALS) compared with controls, with highest levels of expression in individuals with predominant lower motor neuron involvement",,3D-structure|Acetylation|Cytoplasm|Direct protein sequencing|Isopeptide bond|Nitration|Phosphoprotein|Proteomics identification|Reference proteome|Ubl conjugation,,,,P27348,2BTP|5IQP|6BCR|6BD2|6BQT|6KZG|6KZH,DB12695,CHEMBL3710408,hsa:10971,R-HSA-111447:Activation of BAD and translocation to mitochondria|R-HSA-1445148:Translocation of SLC2A4 (GLUT4) to the plasma membrane|R-HSA-5625740:RHO GTPases activate PKNs|R-HSA-5628897:TP53 Regulates Metabolic Genes|R-HSA-75035:Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex|R-HSA-9614399:Regulation of localization of FOXO transcription factors|R-HSA-9735871:SARS-CoV-1 targets host intracellular signalling and regulatory pathways|R-HSA-9755779:SARS-CoV-2 targets host intracellular signalling and regulatory pathways,245,27764,Homo sapiens
P04217,A1BG_HUMAN,reviewed,A1BG,,Alpha-1B-glycoprotein,,,Secreted,Plasma,,Alternative splicing|Direct protein sequencing|Disulfide bond|Glycoprotein|Immunoglobulin domain|Proteomics identification|Reference proteome|Repeat|Secreted|Signal,Ig-like V-type 1 [22-113]|Ig-like V-type 2 [114-206]|Ig-like V-type 3 [207-299]|Ig-like V-type 4 [300-397]|Ig-like V-type 5 [398-495],,,P04217,,DB09130|DB01593|DB14487,,hsa:1,R-HSA-114608:Platelet degranulation|R-HSA-6798695:Neutrophil degranulation,495,54254,Homo sapiens
P01023,A2MG_HUMAN,reviewed,A2M,CPAMD5,Alpha-2-macroglobulin,"Is able to inhibit all four classes of proteinases by a unique 'trapping' mechanism. This protein has a peptide stretch, called the 'bait region' which contains specific cleavage sites for different proteinases. When a proteinase cleaves the bait region, a conformational change is induced in the protein which traps the proteinase. The entrapped enzyme remains active against low molecular weight substrates (activity against high molecular weight substrates is greatly reduced). Following cleavage in the bait region, a thioester bond is hydrolyzed and mediates the covalent binding of the protein to the proteinase",,Secreted,Secreted in plasma,,3D-structure|Bait region|Direct protein sequencing|Disulfide bond|Glycoprotein|Isopeptide bond|Protease inhibitor|Proteomics identification|Reference proteome|Secreted|Serine protease inhibitor|Signal|Thioester bond,,,,P01023,1BV8|2P9R|6TAV|7O7L|7O7M|7O7N|7O7O|7O7P|7O7Q|7O7R|7O7S|7VON|7VOO,DB17449|DB00626|DB00102|DB00515|DB09130|DB06796|DB08888|DB12965|DB01593|DB14487|DB14533|DB14548,CHEMBL4295690,hsa:2,R-HSA-114608:Platelet degranulation|R-HSA-140837:Intrinsic Pathway of Fibrin Clot Formation|R-HSA-1474228:Degradation of the extracellular matrix|R-HSA-8963896:HDL assembly,1474,163291,Homo sapiens
Q9BZC7,ABCA2_HUMAN,reviewed,ABCA2,ABC2|KIAA1062,ATP-binding cassette sub-family A member 2,"Probable lipid transporter that modulates cholesterol sequestration in the late endosome/lysosome by regulating the intracellular sphingolipid metabolism, in turn participates in cholesterol homeostasis (Probable) (PubMed:15238223, PubMed:21810484, PubMed:24201375). May alter the transbilayer distribution of ceramide in the intraluminal membrane lipid bilayer, favoring its retention in the outer leaflet that results in increased acid ceramidase activity in the late endosome/lysosome, facilitating ceramide deacylation to sphingosine leading to the sequestration of free cholesterol in lysosomes (PubMed:24201375). In addition regulates amyloid-beta production either by activating a signaling pathway that regulates amyloid precursor protein transcription through the modulation of sphingolipid metabolism or through its role in gamma-secretase processing of APP (PubMed:22086926, PubMed:26510981). May play a role in myelin formation (By similarity)",Intellectual developmental disorder with poor growth and with or without seizures or ataxia (IDPOGSA),Endosome membrane; Lysosome membrane,Weakly expressed in brain and highly in peripheral blood leukocytes,,Alternative splicing|ATP-binding|Disease variant|Endosome|Epilepsy|Glycoprotein|Intellectual disability|Lysosome|Membrane|Methylation|Nucleotide-binding|Phosphoprotein|Proteomics identification|Reference proteome|Repeat|Translocase|Transmembrane|Transmembrane helix|Transport,ABC transporter 1 [990-1221]|ABC transporter 2 [2050-2285], [1024-1031]| [2087-2094],,Q9BZC7,,,,hsa:20,R-HSA-1369062:ABC transporters in lipid homeostasis,2435,269833,Homo sapiens
P07108,ACBP_HUMAN,reviewed,DBI,,Acyl-CoA-binding protein,Binds medium- and long-chain acyl-CoA esters with very high affinity and may function as an intracellular carrier of acyl-CoA esters. It is also able to displace diazepam from the benzodiazepine (BZD) recognition site located on the GABA type A receptor. It is therefore possible that this protein also acts as a neuropeptide to modulate the action of the GABA receptor,,Endoplasmic reticulum; Golgi apparatus,"Isoform 1 is ubiquitous, with a moderate expression level. Isoform 2 is ubiquitous with high level in liver and adipose tissue. Isoform 3 is ubiquitous with strong expression in adipose tissue and heart",,3D-structure|Acetylation|Alternative promoter usage|Alternative splicing|Direct protein sequencing|Endoplasmic reticulum|Golgi apparatus|Hydroxylation|Lipid-binding|Phosphoprotein|Proteomics identification|Reference proteome|Transport,ACB [2-87], [14-14]| [29-33]| [55-55]| [74-74],,P07108,2CB8|2FJ9,DB01992|DB03381,,hsa:1622,R-HSA-77289:Mitochondrial Fatty Acid Beta-Oxidation,87,10044,Homo sapiens
P25106,ACKR3_HUMAN,reviewed,ACKR3,CMKOR1|CXCR7|GPR159|RDC1,Atypical chemokine receptor 3,(Microbial infection) Acts as a coreceptor with CXCR4 for a restricted number of HIV isolates,Oculomotor-abducens synkinesis (OCABSN),Cell membrane; Early endosome; Recycling endosome,"Expressed in monocytes, basophils, B-cells, umbilical vein endothelial cells (HUVEC) and B-lymphoblastoid cells. Lower expression detected in CD4+ T-lymphocytes and natural killer cells. In the brain, detected in endothelial cells and capillaries, and in mature neurons of the frontal cortex and hippocampus. Expressed in tubular formation in the kidney. Highly expressed in astroglial tumor endothelial, microglial and glioma cells. Expressed at low levels in normal CD34+ progenitor cells, but at very high levels in several myeloid malignant cell lines. Expressed in breast carcinomas but not in normal breast tissue (at protein level)",,3D-structure|Cell adhesion|Cell membrane|Developmental protein|Disease variant|Disulfide bond|Endosome|G-protein coupled receptor|Glycoprotein|Host-virus interaction|Membrane|Phosphoprotein|Proteomics identification|Receptor|Reference proteome|Transducer|Transmembrane|Transmembrane helix|Ubl conjugation,,,,P25106,6K3F|7SK3|7SK4|7SK5|7SK6|7SK7|7SK8|7SK9|8TII|8TIL|8TIN|8TIO|8VJ9|9E82,,CHEMBL2010631,hsa:57007,R-HSA-380108:Chemokine receptors bind chemokines|R-HSA-418594:G alpha (i) signalling events,362,41493,Homo sapiens
P21399,ACOHC_HUMAN,reviewed,ACO1,IREB1,Cytoplasmic aconitate hydratase,"Conversely, when cellular iron levels are high, binds a 4Fe-4S cluster which precludes RNA binding activity and promotes the aconitase activity, the isomerization of citrate to isocitrate via cis-aconitate",,"Cytoplasm, cytosol",,,3D-structure|4Fe-4S|Cytoplasm|Direct protein sequencing|Iron|Iron-sulfur|Lyase|Metal-binding|Phosphoprotein|Proteomics identification|Reference proteome|RNA-binding|Tricarboxylic acid cycle,, [86-86]| [205-207]| [437-437]| [503-503]| [506-506]| [536-536]| [541-541]| [699-699]| [779-780],,P21399,2B3X|2B3Y,DB06757,,hsa:48,R-HSA-389542:NADPH regeneration|R-HSA-917937:Iron uptake and transport,889,98399,Homo sapiens
P15309,PPAP_HUMAN,reviewed,ACP3,ACPP,Prostatic acid phosphatase,"(Microbial infection) Forms amyloid beta-sheet fibrils in semen. These fibrils, termed SEVI (semen-derived enhancer of viral infection) capture HIV virions, attach them to target cells and enhance infection (PubMed:18083097, PubMed:19451623, PubMed:19897482). SEVI amyloid fibrils are degraded by polyphenol epigallocatechin-3-gallate (EGCG), a constituent of green tea (PubMed:19451623). Target cell attachment and enhancement of HIV infection is inhibited by surfen (PubMed:19897482). Also similarly boosts XMRV (xenotropic murine leukemia virus-related virus) infection (PubMed:19403677)",,"Cell membrane; Lysosome membrane; Nucleus; Cytoplasm, cytosol",Widely expressed. Expressed in the sarcolemma of skeletal muscle,,3D-structure|Alternative splicing|Amyloid|Cell membrane|Cytoplasm|Direct protein sequencing|Disulfide bond|Glycoprotein|Hydrolase|Lipid metabolism|Lysosome|Membrane|Nucleus|Proteomics identification|Reference proteome|Secreted|Signal,, [43-43]| [47-47]| [111-111]| [289-289],Nucleophile [44-44]|Proton donor [290-290],P15309,1CVI|1ND5|1ND6|2HPA|2L3H|2L77|2L79|2MG0|3PPD|7ZZV|8XJ4,DB03390|DB03577|DB06688,CHEMBL2633,hsa:55,R-HSA-6798695:Neutrophil degranulation,386,44566,Homo sapiens
O95573,ACSL3_HUMAN,reviewed,ACSL3,ACS3|FACL3|LACS3,Fatty acid CoA ligase Acsl3,"Acyl-CoA synthetases (ACSL) activates long-chain fatty acids for both synthesis of cellular lipids, and degradation via beta-oxidation (PubMed:22633490). Required for the incorporation of fatty acids into phosphatidylcholine, the major phospholipid located on the surface of VLDL (very low density lipoproteins) (PubMed:18003621). Has mainly an anabolic role in energy metabolism. Mediates hepatic lipogenesis. Preferentially uses myristate, laurate, arachidonate and eicosapentaenoate as substrates. Both isoforms exhibit the same level of activity (By similarity)",,Mitochondrion outer membrane; Peroxisome membrane; Microsome membrane; Endoplasmic reticulum membrane,,,ATP-binding|Endoplasmic reticulum|Fatty acid metabolism|Ligase|Lipid metabolism|Magnesium|Membrane|Microsome|Mitochondrion|Mitochondrion outer membrane|Nucleotide-binding|Peroxisome|Phosphoprotein|Proteomics identification|Reference proteome|Signal-anchor|Transmembrane|Transmembrane helix,,,,O95573,,,CHEMBL4680023,hsa:2181,R-HSA-434313:Intracellular metabolism of fatty acids regulates insulin secretion|R-HSA-75876:Synthesis of very long-chain fatty acyl-CoAs,720,80420,Homo sapiens
P68032,ACTC_HUMAN,reviewed,ACTC1,ACTC,"Actin, alpha cardiac muscle 1",Actins are highly conserved proteins that are involved in various types of cell motility and are ubiquitously expressed in all eukaryotic cells,"Cardiomyopathy, dilated, 1R (CMD1R)|Cardiomyopathy, familial hypertrophic, 11 (CMH11)|Atrial septal defect 5 (ASD5)","Cytoplasm, cytoskeleton",,,3D-structure|Acetylation|ATP-binding|Atrial septal defect|Cardiomyopathy|Cytoplasm|Cytoskeleton|Disease variant|Hydrolase|Isopeptide bond|Methylation|Muscle protein|Nucleotide-binding|Oxidation|Proteomics identification|Reference proteome,,,,P68032,8GSU|8GSW|8GT1|8GT2|8GT3|8GT4|8GT5|8ZB7|8ZI9|8ZJ1|9B3Q|9B3R|9BPH|9BPM,,,hsa:70,R-HSA-390522:Striated Muscle Contraction|R-HSA-8980692:RHOA GTPase cycle|R-HSA-9013026:RHOB GTPase cycle|R-HSA-9764561:Regulation of CDH1 Function|R-HSA-9913351:Formation of the dystrophin-glycoprotein complex (DGC),377,42019,Homo sapiens
